ts_code,ann_date,end_date,holder_num
300638.SZ,20251030,20250930,79494
300638.SZ,20250827,20250630,82410
300638.SZ,20250430,20250331,82996
300638.SZ,20250419,20250331,82996
300638.SZ,20250419,20241231,41612
300638.SZ,20241029,20240930,48024
300638.SZ,20240829,20240630,41985
300638.SZ,20240429,20240331,38616
300638.SZ,20240326,20240229,36127
300638.SZ,20240326,20231231,33008
300638.SZ,20231028,20230930,34432
300638.SZ,20230805,20230630,34634
300638.SZ,20230426,20230331,26838
300638.SZ,20230424,20230331,26838
300638.SZ,20230424,20221231,24804
300638.SZ,20221022,20220930,22374
300638.SZ,20220809,20220630,20051
300638.SZ,20220429,20220331,18069
300638.SZ,20220330,20220228,16523
300638.SZ,20220330,20211231,15952
300638.SZ,20211016,20210930,21511
300638.SZ,20210821,20210630,21916
300638.SZ,20210423,20210331,21541
300638.SZ,20210417,20210331,21541
300638.SZ,20210417,20201231,23591
300638.SZ,20201029,20200930,22213
300638.SZ,20200801,20200630,15972
300638.SZ,20200425,20200331,15273
300638.SZ,20200415,20200331,15273
300638.SZ,20200415,20191231,13236
300638.SZ,20191028,20190930,15098
300638.SZ,20190723,20190719,13486
300638.SZ,20190717,20190710,12848
300638.SZ,20190829,20190630,14588
300638.SZ,20190626,20190610,14645
300638.SZ,20190603,20190520,12233
300638.SZ,20190514,20190510,12220
300638.SZ,20190514,20190430,11722
300638.SZ,20190514,20190419,10954
300638.SZ,20190415,20190410,9367
300638.SZ,20190426,20190331,9695
300638.SZ,20190403,20190329,9695
300638.SZ,20190321,20190320,9968
300638.SZ,20190319,20190308,9349
300638.SZ,20190308,20190228,9681
300638.SZ,20190226,20190220,10867
300638.SZ,20190226,20190131,11508
300638.SZ,20190226,20190118,12111
300638.SZ,20190308,20181231,12050
300638.SZ,20190116,20181228,12050
300638.SZ,20181106,20181031,12904
300638.SZ,20181029,20180930,12722
300638.SZ,20181015,20180928,12722
300638.SZ,20180809,20180731,13926
300638.SZ,20180723,20180720,14687
300638.SZ,20180807,20180630,16412
300638.SZ,20180703,20180629,16412
300638.SZ,20180703,20180615,16123
300638.SZ,20180604,20180531,13870
300638.SZ,20180516,20180515,10552
300638.SZ,20180503,20180427,11333
300638.SZ,20180418,20180413,10853
300638.SZ,20180427,20180331,11813
300638.SZ,20180402,20180330,11813
300638.SZ,20180319,20180315,10183
300638.SZ,20180301,20180228,11335
300638.SZ,20180223,20180214,10089
300638.SZ,20180201,20180131,10606
300638.SZ,20180116,20180115,11340
300638.SZ,20180413,20171231,13038
300638.SZ,20180102,20171229,13038
300638.SZ,20171218,20171215,12826
300638.SZ,20171201,20171130,14158
300638.SZ,20171116,20171115,11812
300638.SZ,20171102,20171031,11835
300638.SZ,20171016,20171013,13530
300638.SZ,20171026,20170930,11407
300638.SZ,20170918,20170915,10381
300638.SZ,20170901,20170831,11691
300638.SZ,20170817,20170815,11325
300638.SZ,20170801,20170731,11566
300638.SZ,20170825,20170630,13583
300638.SZ,20170620,20170615,14201
300638.SZ,20170412,20170413,36728
300638.SZ,20170428,20170331,36728
