ts_code,ann_date,end_date,holder_num
002869.SZ,20251031,20250930,22297
002869.SZ,20250826,20250630,34928
002869.SZ,20250429,20250331,36532
002869.SZ,20250422,20250331,36532
002869.SZ,20250422,20241231,41995
002869.SZ,20241029,20240930,44539
002869.SZ,20240827,20240630,56773
002869.SZ,20240419,20240331,34986
002869.SZ,20240419,20231231,29010
002869.SZ,20231027,20230930,24540
002869.SZ,20230823,20230630,20216
002869.SZ,20230425,20230331,19938
002869.SZ,20230425,20221231,20123
002869.SZ,20221027,20220930,23109
002869.SZ,20220826,20220630,27126
002869.SZ,20220426,20220331,29539
002869.SZ,20220426,20211231,31094
002869.SZ,20211025,20210930,32962
002869.SZ,20210831,20210630,43335
002869.SZ,20210429,20210331,32175
002869.SZ,20210429,20201231,32697
002869.SZ,20201030,20200930,31207
002869.SZ,20200828,20200630,25855
002869.SZ,20200429,20200331,16464
002869.SZ,20200429,20191231,17070
002869.SZ,20191031,20190930,19353
002869.SZ,20190830,20190630,15595
002869.SZ,20190426,20190331,13935
002869.SZ,20190426,20181231,14811
002869.SZ,20181022,20180930,14677
002869.SZ,20180727,20180630,15861
002869.SZ,20180425,20180331,17177
002869.SZ,20180425,20171231,17392
002869.SZ,20171025,20170930,21360
002869.SZ,20170824,20170630,23068
002869.SZ,20170516,20170515,59320
