ts_code,ann_date,end_date,holder_num
300183.SZ,20260612,20260610,29797
300183.SZ,20260601,20260529,29935
300183.SZ,20260522,20260520,30107
300183.SZ,20260513,20260508,31261
300183.SZ,20260506,20260430,30940
300183.SZ,20260422,20260420,30866
300183.SZ,20260414,20260410,30441
300183.SZ,20260402,20260331,30390
300183.SZ,20260411,20260331,30390
300183.SZ,20260424,20260331,30390
300183.SZ,20260323,20260320,30736
300183.SZ,20260311,20260310,31727
300183.SZ,20260303,20260227,31897
300183.SZ,20260226,20260213,31714
300183.SZ,20260211,20260210,31981
300183.SZ,20260202,20260130,32786
300183.SZ,20260122,20260120,32577
300183.SZ,20260112,20260109,32520
300183.SZ,20260105,20251231,32425
300183.SZ,20260411,20251231,32425
300183.SZ,20251223,20251219,32449
300183.SZ,20251211,20251210,33249
300183.SZ,20251201,20251128,33855
300183.SZ,20251124,20251120,34055
300183.SZ,20251111,20251110,34518
300183.SZ,20251104,20251031,34701
300183.SZ,20251021,20251020,35214
300183.SZ,20251016,20251010,36091
300183.SZ,20251010,20250930,36707
300183.SZ,20251025,20250930,36707
300183.SZ,20250923,20250919,36698
300183.SZ,20250912,20250910,36233
300183.SZ,20250902,20250829,36485
300183.SZ,20250821,20250820,37044
300183.SZ,20250811,20250808,36825
300183.SZ,20250801,20250731,36871
300183.SZ,20250721,20250718,38346
300183.SZ,20250711,20250710,38425
300183.SZ,20250701,20250630,39452
300183.SZ,20250818,20250630,39452
300183.SZ,20250624,20250620,38759
300183.SZ,20250612,20250610,39630
300183.SZ,20250604,20250530,39472
300183.SZ,20250521,20250520,40460
300183.SZ,20250512,20250509,41876
300183.SZ,20250507,20250430,41766
300183.SZ,20250421,20250418,43102
300183.SZ,20250414,20250410,43100
300183.SZ,20250402,20250331,45192
300183.SZ,20250425,20250331,45192
300183.SZ,20250321,20250320,50816
300183.SZ,20250312,20250310,56232
300183.SZ,20250304,20250228,35939
300183.SZ,20250331,20250228,35939
300183.SZ,20250221,20250220,33460
