ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period
300098.SZ,20260429,20260429,20260331,35370929.28,-17836689.49,-19084684.12,377871619.32
300098.SZ,20260429,20260429,20260331,35370929.28,-17836689.49,-19084684.12,377871619.32
300098.SZ,20260418,20260418,20251231,157297786.87,-111926951.32,-56564239.21,379834919.15
300098.SZ,20251029,20251029,20250930,10581806.9,-77997065.92,5041245.44,329919815.27
300098.SZ,20251029,20251029,20250930,10581806.9,-77997065.92,5041245.44,329919815.27
300098.SZ,20250819,20250819,20250630,-55892606.39,-77872070.83,39380104.32,297956256.58
300098.SZ,20250429,20250429,20250331,-34699649.9,-104218898.75,26128621.59,279496948.14
300098.SZ,20250429,20250429,20250331,-34699649.9,-104218898.75,26128621.59,279496948.14
300098.SZ,20250419,20250419,20241231,59407491.86,-226272600.57,-36053778.63,392078734.34
300098.SZ,20241030,20241030,20240930,-72383705.32,-182092136.32,-27072132.23,312773301.14
300098.SZ,20241030,20241030,20240930,-72383705.32,-182092136.32,-27072132.23,312773301.14
300098.SZ,20240830,20240830,20240630,-70680708.0,-149126959.93,-28492332.73,346280539.5
300098.SZ,20240429,20240429,20240331,-111501984.49,-93073883.02,-28175082.67,360860893.8
300098.SZ,20240413,20240413,20231231,178464659.81,-342194901.76,195874659.18,593301541.47
300098.SZ,20231030,20231030,20230930,-39988730.47,-241328652.12,190699480.25,470644743.52
300098.SZ,20230830,20230830,20230630,-69599533.33,-231360918.98,190333083.43,450354599.13
300098.SZ,20230830,20230830,20230630,-69599533.33,-231360918.98,190333083.43,450354599.13
300098.SZ,20230428,20230428,20230331,-142610373.77,-153989739.36,135050886.41,398545378.35
300098.SZ,20230428,20230428,20230331,-142610373.77,-153989739.36,135050886.41,398545378.35
300098.SZ,20230415,20230415,20221231,62916428.71,-45568945.74,-96582662.75,560489159.9
300098.SZ,20230415,20230415,20221231,62916428.71,-45568945.74,-96582662.75,560489159.9
300098.SZ,20221028,20221028,20220930,-205684560.75,-86110671.76,-83325139.39,265730381.01
300098.SZ,20221028,20221028,20220930,-205684560.75,-86110671.76,-83325139.39,265730381.01
300098.SZ,20220830,20220830,20220630,-188651382.24,-52566902.33,-43734590.29,354821499.32
