ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period
300310.SZ,20260423,20260423,20260331,-245440561.74,-16017240.94,91908589.4,563952489.64
300310.SZ,20260423,20260423,20260331,-245440561.74,-16017240.94,91908589.4,563952489.64
300310.SZ,20260331,20260331,20251231,199896574.82,10962618.4,-1755615.31,733348167.16
300310.SZ,20260331,20260331,20251231,199896574.82,10962618.4,-1755615.31,733348167.16
300310.SZ,20251028,20251028,20250930,-125010974.41,13825234.52,49017556.82,462083823.4
300310.SZ,20251028,20251028,20250930,-125010974.41,13825234.52,49017556.82,462083823.4
300310.SZ,20250816,20250816,20250630,-128207919.76,583210.62,60048447.72,456675745.07
300310.SZ,20250816,20250816,20250630,-128207919.76,583210.62,60048447.72,456675745.07
300310.SZ,20250424,20250424,20250331,-115498516.08,2021441.72,47797968.44,459153640.58
300310.SZ,20250424,20250424,20250331,-115498516.08,2021441.72,47797968.44,459153640.58
300310.SZ,20250401,20250401,20241231,-246620164.06,-18498466.51,-14177303.97,524252006.5
300310.SZ,20250401,20250401,20241231,-246620164.06,-18498466.51,-14177303.97,524252006.5
300310.SZ,20241029,20241029,20240930,-366283061.65,-1258065.31,101290862.31,537297676.32
300310.SZ,20241029,20241029,20240930,-366283061.65,-1258065.31,101290862.31,537297676.32
300310.SZ,20240827,20240827,20240630,-330083674.91,-2849310.94,102977989.0,573592944.17
300310.SZ,20240827,20240827,20240630,-330083674.91,-2849310.94,102977989.0,573592944.17
300310.SZ,20240423,20240423,20240331,-329363302.09,5059856.24,126110289.17,605354784.33
300310.SZ,20240423,20240423,20231231,-300811197.72,49835531.09,58756164.02,803547941.0
300310.SZ,20231026,20231026,20230930,-590140802.25,2742133.78,201706086.01,610074861.19
300310.SZ,20231026,20231026,20230930,-590140802.25,2742133.78,201706086.01,610074861.19
300310.SZ,20230821,20230821,20230630,-460707265.57,8359585.87,192412660.39,735832424.36
300310.SZ,20230425,20230425,20230331,-299163553.12,-11038812.25,50040540.19,651072219.91
300310.SZ,20230425,20230425,20230331,-299163553.12,-11038812.25,50040540.19,651072219.91
300310.SZ,20230425,20230425,20221231,86200730.54,-26524557.56,9704531.48,995767443.57
300310.SZ,20230425,20230425,20221231,86200730.54,-26524557.56,9704531.48,995767443.57
300310.SZ,20221025,20221025,20220930,-308859078.96,-62705112.77,36716434.63,591538982.06
300310.SZ,20220827,20220827,20220630,-260874316.34,17572650.09,11701792.04,694786864.8
300310.SZ,20220427,20220427,20220331,-339302346.56,-52070735.95,721518.3,535740174.66
300310.SZ,20220427,20220427,20211231,102375837.58,-127453308.82,1829524.11,926386738.88
300310.SZ,20220427,20220427,20211231,102375837.58,-127453308.82,1829524.11,926386738.88
300310.SZ,20211029,20211029,20210930,-393438217.97,-99785083.03,29196276.36,485607661.41
300310.SZ,20210813,20210813,20210630,-198551597.73,-185785686.16,27967336.64,593264738.79
300310.SZ,20210424,20210424,20210331,-182079179.13,-293237984.18,29370696.62,503674535.0
300310.SZ,20210424,20210424,20201231,68594330.35,185860558.24,-27767591.27,949634686.07
300310.SZ,20210424,20210424,20201231,68594330.35,185860558.24,-27767591.27,949634686.07
300310.SZ,20201029,20201029,20200930,-164250221.26,-24669675.02,-192497.41,533834995.16
300310.SZ,20200822,20200822,20200630,-134870478.39,-162339352.22,-2640218.06,423097340.59
300310.SZ,20200822,20200822,20200630,-134870478.39,-162339352.22,-2640218.06,423097340.59
300310.SZ,20200425,20200425,20200331,-167689513.66,-160217923.51,-356258.06,394683693.73
300310.SZ,20200307,20200307,20191231,241324299.88,155216574.9,29446538.58,722947588.95
300310.SZ,20200307,20200307,20191231,241324299.88,155216574.9,29446538.58,722947588.95
300310.SZ,20191030,20191030,20190930,-114331251.96,49217464.72,26673485.07,258522761.1
300310.SZ,20191030,20191030,20190930,-114331251.96,49217464.72,26673485.07,258522761.1
300310.SZ,20190810,20190810,20190630,-102313943.07,-2924064.68,20781170.57,212390725.03
300310.SZ,20190810,20190810,20190630,-102313943.07,-2924064.68,20781170.57,212390725.03
300310.SZ,20190425,20190425,20190331,-107047773.13,22428317.01,35460974.79,248041496.38
300310.SZ,20190425,20190425,20181231,-106155050.48,-212921433.09,-178990040.17,297200815.75
300310.SZ,20190425,20190425,20181231,-106155050.48,-212921433.09,-178990040.17,297200815.75
300310.SZ,20181026,20181026,20180930,-194644265.61,17716572.27,-92779036.41,525600632.11
300310.SZ,20180829,20180829,20180630,-210952349.83,72936279.38,-97911234.62,559144767.39
300310.SZ,20180424,20180424,20180331,-260079545.81,-22365896.26,-11796055.66,500594455.09
300310.SZ,20180403,20180403,20171231,73931474.59,-874565126.69,495719556.36,795415712.38
300310.SZ,20171017,20171017,20170930,-211161637.41,-738192187.26,373614221.73,524681034.74
300310.SZ,20170823,20170823,20170630,-184455791.26,-278579077.2,418935125.96,1056718382.91
300310.SZ,20170408,20170408,20170331,-187826800.84,-178293281.16,-13658351.4,720752043.68
300310.SZ,20170315,20170315,20161231,102438113.92,-227415723.62,956858714.51,1100530477.08
300310.SZ,20161026,20161026,20160930,-170017836.45,-572555297.32,954457613.43,480533851.93
300310.SZ,20160810,20160810,20160630,-97454414.11,-563644523.3,948814212.4,556364647.26
300310.SZ,20160423,20160423,20160331,-110992842.87,-77082195.22,977380476.25,1142303956.49
300310.SZ,20160423,20160423,20151231,104455185.12,-39377999.31,-14813556.93,268649372.27
300310.SZ,20151024,20151024,20150930,-65066055.2,-34981327.3,-13388461.64,104949899.25
300310.SZ,20150822,20150822,20150630,-78821061.88,-15314157.36,-13909422.41,110341101.74
300310.SZ,20150425,20150425,20150331,-60888827.49,-3969163.8,-257048.41,153270703.69
300310.SZ,20150326,20150326,20141231,38110040.61,-56106402.69,-12093508.55,218385743.39
300310.SZ,20141024,20141024,20140930,-78181470.58,-52481711.1,-8813994.55,108998437.79
300310.SZ,20140809,20140809,20140630,-38307821.1,-49515853.82,-8434688.03,152217251.07
300310.SZ,20140426,20140426,20140331,-11238208.48,-7359702.54,-626849.07,229250853.93
300310.SZ,20140328,20140328,20131231,-69825657.05,-69578042.21,-6835314.62,248475614.02
300310.SZ,20131026,20131026,20130930,-141332643.55,-60079356.99,-1430242.8,191872384.56
300310.SZ,20130824,20130824,20130630,-101448061.9,-4322778.88,-1964268.56,286979518.56
300310.SZ,20130425,20130425,20130331,-108357213.35,-1425811.43,-79000.0,284852603.12
300310.SZ,20130322,20130322,20121231,-35284278.54,-15267153.07,315083645.77,394714627.9
300310.SZ,20121026,20121026,20120930,-107102909.52,-13763604.99,313642784.25,322958683.48
300310.SZ,20120825,20120825,20120630,-91410090.05,-11232460.58,339947054.25,367486917.36
300310.SZ,20121026,20121026,20110930,-27495419.91,-6870010.01,-4456198.58,82350673.56
