ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,n_cashflow_inv_act,n_cash_flows_fnc_act,c_cash_equ_end_period
688159.SH,20260430,20260430,20260331,-379211560.53,-4337732.89,164635137.51,403162142.67
688159.SH,20260430,20260430,20251231,81945588.23,-42904692.01,360500987.23,622557891.87
688159.SH,20251030,20251030,20250930,150494123.71,-35550767.41,179966303.72,517925668.44
688159.SH,20251030,20251030,20250930,150494123.71,-35550767.41,179966303.72,517925668.44
688159.SH,20250828,20250828,20250630,141427437.43,-29235469.23,46478982.94,381694567.23
688159.SH,20250828,20250828,20250630,141427437.43,-29235469.23,46478982.94,381694567.23
688159.SH,20250430,20250430,20250331,779593.17,-5170985.43,176360802.58,395608366.47
688159.SH,20250430,20250430,20250331,779593.17,-5170985.43,176360802.58,395608366.47
688159.SH,20250430,20250430,20241231,12823114.51,-16060219.42,61498735.38,223646020.14
688159.SH,20241030,20241030,20240930,9762690.08,-18383130.88,-20838889.91,135338647.58
688159.SH,20241030,20241030,20240930,9762690.08,-18383130.88,-20838889.91,135338647.58
688159.SH,20240830,20240830,20240630,11951456.73,-14738376.02,11414001.83,173425060.83
688159.SH,20240430,20240430,20240331,-18739138.68,-8016050.57,35515059.43,173557848.47
688159.SH,20240430,20240430,20240331,-18739138.68,-8016050.57,35515059.43,173557848.47
688159.SH,20240430,20240430,20231231,-222835247.02,-32695328.13,210402458.99,164797978.29
688159.SH,20231031,20231031,20230930,-76123559.4,-23875762.62,119120449.99,229863826.58
688159.SH,20231031,20231031,20230930,-76123559.4,-23875762.62,119120449.99,229863826.58
688159.SH,20230830,20230830,20230630,-66559211.85,-14276624.5,72905074.52,202811936.78
688159.SH,20230830,20230830,20230630,-66559211.85,-14276624.5,72905074.52,202811936.78
688159.SH,20230428,20230428,20230331,-92085369.03,-11530456.58,101033128.15,208160001.15
688159.SH,20230428,20230428,20230331,-92085369.03,-11530456.58,101033128.15,208160001.15
688159.SH,20230428,20230428,20221231,125456163.97,-24573598.32,-61907858.1,210742698.61
688159.SH,20230428,20230428,20221231,125456163.97,-24573598.32,-61907858.1,210742698.61
688159.SH,20221031,20221031,20220930,28892440.31,4691109.05,1928055.75,202274006.54
688159.SH,20220830,20220830,20220630,58462049.94,-32427192.03,-59719162.61,133078096.73
688159.SH,20220429,20220429,20220331,24310243.22,-34211253.09,-42122502.59,114738888.97
688159.SH,20220429,20220429,20220331,24310243.22,-34211253.09,-42122502.59,114738888.97
688159.SH,20220429,20220429,20211231,-86718471.17,77810124.62,44634023.65,166762401.43
688159.SH,20220429,20220429,20211231,-86718471.17,77810124.62,44634023.65,166762401.43
688159.SH,20211030,20211030,20210930,-86079881.3,101128120.55,544654.0,146629617.58
688159.SH,20211030,20211030,20210930,-86079881.3,101128120.55,544654.0,146629617.58
688159.SH,20210830,20210830,20210630,-87893225.69,45980887.98,33378798.51,122503185.13
688159.SH,20210429,20210429,20210331,-57213824.67,-3408520.18,56214212.0,126628591.48
688159.SH,20210427,20210427,20201231,-91943278.24,-268086083.64,408885737.83,131036724.33
688159.SH,20210427,20210427,20201231,-91943278.24,-268086083.64,408885737.83,131036724.33
688159.SH,20201029,20201029,20200930,-134277624.08,-335475433.85,429978047.3,42405337.75
688159.SH,20200820,20200820,20200630,-113720824.05,-271261592.01,412191523.76,109389456.08
688159.SH,20200820,20200820,20200630,-113720824.05,-271261592.01,412191523.76,109389456.08
688159.SH,20200429,20200429,20200331,-100852885.48,-292336798.48,413466331.45,102456995.87
688159.SH,20200415,20200415,20191231,-2037098.79,-57019199.23,64093752.5,82180348.38
688159.SH,20200415,20200415,20191231,-2037098.79,-57019199.23,64093752.5,82180348.38
