ts_code,ann_date,subtype,scope,event_day,rel,pe_pre,val_pct,firm
300638.SZ,20230222,股份回购(首发),14firm,20230222,-0.08513331385826303,35.7327,0.24605678233438485,广和通
300638.SZ,20221019,股份回购(首发),14firm,20221019,-0.002346112493553029,30.2243,0.12933753943217666,广和通
300638.SZ,20221001,股份回购(首发),14firm,20221010,-0.04798082985164001,28.0499,0.09238395673726904,广和通
300638.SZ,20220617,股份回购(首发),14firm,20220617,-0.052495560937027536,39.1859,0.31275349256421814,广和通
300638.SZ,20211209,股份回购(首发),14firm,20211209,-0.20430777033254283,82.6275,0.8066696710229834,广和通
300638.SZ,20211123,股份回购(首发),14firm,20211123,-0.07354003125595922,81.0828,0.7751239296980622,广和通
300638.SZ,20210823,股份回购(首发),14firm,20210823,-0.13905961949040035,76.8191,0.7025687246507436,广和通
300638.SZ,20210803,股份回购(首发),14firm,20210803,-0.19643031629932792,86.0735,0.8688598467778279,广和通
300638.SZ,20201210,股份回购(首发),14firm,20201210,0.23163684884162794,81.7989,0.7917981072555205,广和通
300638.SZ,20201121,股份回购(首发),14firm,20201123,0.14752153399031,81.0955,0.775574583145561,广和通
300638.SZ,20200701,股份回购(首发),14firm,20200701,0.10765171023592739,85.3602,0.8621000450653448,广和通
300638.SZ,20200611,股份回购(首发),14firm,20200611,-0.0497528160182496,77.932,0.7251013970256872,广和通
300638.SZ,20191224,股份回购(首发),14firm,20191224,-0.10790606049262397,98.6769,0.953582694907616,广和通
300638.SZ,20191205,股份回购(首发),14firm,20191205,-0.12223430918440292,92.4934,0.9175304191077062,广和通
688080.SH,20250707,股份回购(首发),14firm,20250707,-0.03549527351010012,27.1612,0.2947299934938191,映翰通
688080.SH,20250531,股份回购(首发),14firm,20250603,0.0008737544495076646,26.297,0.2635003253090436,映翰通
688080.SH,20240913,股份回购(首发),14firm,20240913,-0.17956214050043828,19.1308,0.04033832140533507,映翰通
688080.SH,20240823,股份回购(首发),14firm,20240823,0.07307185636128945,18.0183,0.008458035133376708,映翰通
300098.SZ,20231030,股份回购(首发),14firm,20231030,-0.15455034629553466,,,高新兴
300098.SZ,20210512,股份回购(首发),14firm,20210512,0.026719394631444154,,,高新兴
300098.SZ,20210421,股份回购(首发),14firm,20210421,-0.022128679275192284,,,高新兴
300098.SZ,20201017,股份回购(首发),14firm,20201019,-0.01990219005699858,,,高新兴
300098.SZ,20201001,股份回购(首发),14firm,20201009,-0.004782521765741709,,,高新兴
300098.SZ,20200208,股份回购(首发),14firm,20200210,0.19538460201269697,17.2605,0.005104408352668214,高新兴
300098.SZ,20200123,股份回购(首发),14firm,20200123,0.12729663504863015,18.6661,0.018097447795823667,高新兴
300098.SZ,20191015,股份回购(首发),14firm,20191015,-0.15199447219910117,23.3735,0.0728538283062645,高新兴
300098.SZ,20190924,股份回购(首发),14firm,20190924,-0.18199764928489687,26.4137,0.10672853828306264,高新兴
300098.SZ,20190410,股份回购(首发),14firm,20190410,0.0104521688783841,43.694,0.36751740139211136,高新兴
300098.SZ,20190323,股份回购(首发),14firm,20190325,-0.0031204470820791336,41.317,0.30162412993039445,高新兴
300098.SZ,20181016,股份回购(首发),14firm,20181016,0.021635815196204028,24.0851,0.08259860788863109,高新兴
300098.SZ,20180929,股份回购(首发),14firm,20181008,-0.013839185884405636,29.5865,0.14245939675174013,高新兴
300098.SZ,20180710,股份回购(首发),14firm,20180710,0.0775689769814689,34.3516,0.18700696055684454,高新兴
300098.SZ,20180703,股份回购(首发),14firm,20180703,0.042605525569673786,34.6115,0.18979118329466357,高新兴
300098.SZ,20180623,股份回购(首发),14firm,20180625,0.1668951945177912,30.7561,0.15406032482598608,高新兴
300098.SZ,20180616,股份回购(首发),14firm,20180619,0.07883579864432376,34.6981,0.19164733178654292,高新兴
300098.SZ,20171021,股份回购(首发),14firm,20171023,0.0037495702866768427,51.1824,0.5192575406032482,高新兴
300098.SZ,20170712,股份回购(首发),14firm,20170712,0.11864337916085535,43.4639,0.3605568445475638,高新兴
300098.SZ,20170419,股份回购(首发),14firm,20170419,-0.15646830202037224,90.958,0.7294663573085847,高新兴
300098.SZ,20160520,股份回购(首发),14firm,20160520,-0.03714585647776292,91.1114,0.7299303944315545,高新兴
300098.SZ,20140729,股份回购(首发),14firm,20140729,-0.04831734473724758,69.0299,0.6672853828306264,高新兴
300098.SZ,20140410,股份回购(首发),14firm,20140410,0.15262834462146757,,,高新兴
