ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
688159.SH,20260430,20260331,3.0332,1.7873,20.119,5.0007,27583974.8,-4.0815,10.0768
688159.SH,20260430,20251231,3.1204,2.5117,13.2216,1.0647,88954094.7,0.882,9.657
688159.SH,20251030,20250930,9.2455,5.3595,12.1907,3.7602,66953725.88,1.6198,10.219
688159.SH,20250828,20250630,7.1248,3.8944,11.2372,3.7378,47185916.94,1.5219,9.9976
688159.SH,20250828,20250630,7.1248,3.8944,7.6668,2.5502,,1.5219,9.9976
688159.SH,20250430,20250331,2.0359,1.4717,8.6502,1.8165,,0.0085,9.4976
688159.SH,20250430,20250331,2.0359,1.4717,7.5928,1.5944,,0.0085,9.4976
688159.SH,20250430,20241231,12.5282,7.1959,10.8813,3.1201,95156062.27,0.1394,9.2965
688159.SH,20241030,20240930,12.0066,6.9543,9.5677,3.5782,73076839.88,0.1061,9.1526
688159.SH,20240830,20240630,10.3589,6.2268,10.3715,4.5076,51669350.98,0.1297,9.0112
688159.SH,20240430,20240331,7.5665,4.4635,12.9902,6.673,26622230.24,-0.2034,8.7623
688159.SH,20240430,20240331,7.5665,4.4635,12.9902,6.673,,-0.2034,8.7623
688159.SH,20240430,20231231,-5.0601,-2.9373,15.1809,-4.4598,115015525.69,-2.4187,8.0876
688159.SH,20231031,20230930,-5.7748,-3.5088,12.1729,-6.3414,61142576.75,-0.8263,8.0142
688159.SH,20230830,20230630,-5.8857,-3.6843,12.9315,-10.7688,58481452.37,-0.7225,8.0054
688159.SH,20230428,20230331,-2.559,-1.6117,12.3578,-10.5784,18615855.49,-1.0044,8.228
688159.SH,20230428,20230331,-2.559,-1.6117,12.3578,-10.5784,18615855.49,-1.0044,8.228
688159.SH,20230428,20221231,-7.0876,-4.7434,14.4193,-6.8282,106089553.83,1.3684,8.4412
688159.SH,20230428,20221231,-7.0876,-4.7434,14.4193,-6.8282,106089553.83,1.3684,8.4412
688159.SH,20221031,20220930,-2.9579,-1.9102,15.9878,-4.2262,52823012.98,0.3151,8.8191
688159.SH,20221031,20220930,-2.9579,-1.9102,15.9878,-4.2262,52823012.98,0.3151,8.8191
688159.SH,20220830,20220630,-1.8036,-1.1859,18.0437,-4.2695,48474170.58,0.6377,8.9215
688159.SH,20220830,20220630,-1.8036,-1.1859,18.0437,-4.2695,48474170.58,0.6377,8.9215
688159.SH,20220429,20220331,-0.7616,-0.349,20.093,-4.5133,23709200.5,0.2652,9.0113
688159.SH,20220429,20220331,-0.7616,-0.349,20.093,-4.5133,23709200.5,0.2652,9.0113
688159.SH,20220429,20211231,-1.5476,-0.9144,15.3349,-1.364,93741715.48,-0.9459,9.0802
688159.SH,20220429,20211231,-1.5476,-0.9144,15.3349,-1.364,93741715.48,-0.9459,9.0802
688159.SH,20211030,20210930,-1.2309,-0.0948,17.8521,-1.5412,53579355.47,-0.9389,9.0821
688159.SH,20211030,20210930,-1.2309,-0.0948,17.8521,-1.5412,53579355.47,-0.9389,9.0821
688159.SH,20210830,20210630,-2.0792,-1.0352,16.9554,-4.2059,44137398.1,-0.9587,9.0043
688159.SH,20210830,20210630,-2.0792,-1.0352,16.9554,-4.2059,44137398.1,-0.9587,9.0043
688159.SH,20210429,20210331,-2.8792,-1.9576,11.6607,-18.2512,22082053.22,-0.6241,8.9325
688159.SH,20210429,20210331,-2.8792,-1.9576,11.6607,-18.2512,22082053.22,-0.6241,8.9325
688159.SH,20210427,20201231,-11.0753,-7.7588,14.6698,-13.0862,87402457.56,-1.0029,9.1935
688159.SH,20210427,20201231,-11.0753,-7.7588,14.6698,-13.0862,87402457.56,-1.0029,9.1935
688159.SH,20201029,20200930,-5.9539,-3.715,18.7137,-9.5732,64645814.16,-1.4646,9.5612
688159.SH,20201029,20200930,-5.9539,-3.715,18.7137,-9.5732,64645814.16,-1.4646,9.5612
688159.SH,20200820,20200630,-3.7746,-2.3318,19.7414,-9.5014,40281673.04,-1.2404,9.7232
688159.SH,20200820,20200630,-3.7746,-2.3318,19.7414,-9.5014,40281673.04,-1.2404,9.7232
688159.SH,20200429,20200331,-1.3488,-0.8166,22.9758,-8.3974,17472020.81,-1.1001,9.9882
688159.SH,20200429,20200331,-1.3488,-0.8166,22.9758,-8.3974,17472020.81,-1.1001,9.9882
