ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
002970.SZ,20260428,20260331,2.0658,1.1824,41.7051,7.8696,,-1.3137,11.7395
002970.SZ,20260331,20251231,20.3778,12.4519,45.1804,15.6849,285805853.11,2.1956,11.4158
002970.SZ,20251023,20250930,15.1896,9.1332,47.9142,16.4692,,1.5206,10.6488
002970.SZ,20250822,20250630,11.4536,6.7793,47.9198,17.7854,145906131.16,0.9424,10.4156
002970.SZ,20250425,20250331,5.7551,3.4925,47.7082,19.4738,,0.7955,10.2387
002970.SZ,20250425,20241231,18.7125,10.2468,35.7811,10.5756,283710037.8,2.3809,9.5167
002970.SZ,20241023,20240930,14.4683,7.8422,39.1454,11.6127,,1.5105,9.2748
002970.SZ,20241023,20240930,14.4683,7.8422,39.1454,11.6127,,1.5105,9.2748
002970.SZ,20240823,20240630,8.5885,4.8066,40.7403,10.8721,144292862.64,0.5759,8.4634
002970.SZ,20240424,20240331,3.7364,2.0578,43.5351,10.5765,,0.5592,8.2633
002970.SZ,20240424,20231231,7.3459,4.1418,42.9467,5.7804,246395211.74,1.8372,8.1843
002970.SZ,20231026,20230930,5.9151,3.6029,43.4898,6.5372,177033086.57,1.2822,8.0407
002970.SZ,20230822,20230630,4.4514,2.9268,43.18,7.8723,108546611.68,0.7529,7.8114
002970.SZ,20230426,20230331,1.7958,1.3004,42.8305,6.8267,53679427.05,0.5408,7.6301
002970.SZ,20230426,20230331,1.7958,1.3004,42.8305,6.8267,53679427.05,0.5408,7.6301
002970.SZ,20230426,20221231,-10.2431,-8.0376,38.7498,-12.0893,281769106.61,1.5932,7.8639
002970.SZ,20230426,20221231,-10.2431,-8.0376,38.7498,-12.0893,281769106.61,1.5932,7.8639
002970.SZ,20221028,20220930,-5.8337,-4.7008,37.5502,-10.4077,194860957.17,1.1576,8.0777
002970.SZ,20221028,20220930,-5.8337,-4.7008,37.5502,-10.4077,194860957.17,1.1576,8.0777
002970.SZ,20220817,20220630,-5.4612,-4.089,34.4995,-14.7129,133446484.39,0.1371,8.1507
002970.SZ,20220817,20220630,-5.4612,-4.089,34.4995,-14.7129,133446484.39,0.1371,8.1507
002970.SZ,20220428,20220331,-3.963,-2.8609,30.6856,-26.3443,67374646.92,0.0309,8.3536
002970.SZ,20220428,20220331,-3.963,-2.8609,30.6856,-26.3443,67374646.92,0.0309,8.3536
002970.SZ,20220428,20211231,2.0567,0.5857,36.3055,0.9172,268124697.98,-1.7698,8.6782
002970.SZ,20220428,20211231,2.0567,0.5857,36.3055,0.9172,268124697.98,-1.7698,8.6782
002970.SZ,20211022,20210930,3.4676,1.7843,37.3639,3.4036,198483198.06,-2.2823,8.8203
002970.SZ,20211022,20210930,3.4676,1.7843,37.3639,3.4036,198483198.06,-2.2823,8.8203
002970.SZ,20210818,20210630,3.436,2.014,37.6231,5.7644,124148301.84,-0.4659,8.7824
002970.SZ,20210818,20210630,3.436,2.014,37.6231,5.7644,124148301.84,-0.4659,8.7824
002970.SZ,20210421,20210331,-1.2704,-0.9925,35.2615,-8.7841,57107159.45,-0.1523,8.8459
002970.SZ,20210421,20210331,-1.2704,-0.9925,35.2615,-8.7841,57107159.45,-0.1523,8.8459
002970.SZ,20210421,20201231,16.0498,11.6431,42.3172,14.8186,211119295.82,0.8796,8.9552
002970.SZ,20210421,20201231,16.0498,11.6431,42.3172,14.8186,211119295.82,0.8796,8.9552
002970.SZ,20201023,20200930,9.5105,7.1078,44.8354,13.0249,150878466.96,0.3816,8.3702
002970.SZ,20201023,20200930,9.5105,7.1078,44.8354,13.0249,150878466.96,0.3816,8.3702
002970.SZ,20200818,20200630,6.1635,4.5734,47.7257,13.8664,93882352.86,0.0585,8.0844
002970.SZ,20200818,20200630,6.1635,4.5734,47.7257,13.8664,93882352.86,0.0585,8.0844
002970.SZ,20200420,20200331,1.114,0.8942,44.3953,6.6236,40404025.59,-0.0897,16.1507
002970.SZ,20200420,20200331,1.114,0.8942,44.3953,6.6236,40404025.59,-0.0897,16.1507
002970.SZ,20200420,20191231,21.5298,15.91,43.5561,12.7316,169824470.36,2.7375,15.9651
002970.SZ,20200420,20191231,21.5298,15.91,43.5561,12.7316,169824470.36,2.7375,15.9651
