ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
688618.SH,20260430,20260331,-0.1015,-0.0695,57.3043,-1.2422,16793437.14,-0.0121,7.4931
688618.SH,20260430,20251231,4.1861,3.4704,56.4901,10.0565,76304630.36,0.4967,7.78
688618.SH,20251031,20250930,4.0109,3.6483,59.2537,13.3023,62726452.45,0.2328,7.964
688618.SH,20250829,20250630,1.8619,1.4125,60.2591,9.3145,44047608.29,0.1284,7.7975
688618.SH,20250829,20250630,1.8619,1.4125,60.2591,9.3145,44047608.29,0.1284,7.7975
688618.SH,20250430,20250331,0.9211,0.8004,60.1774,9.8689,,0.1023,7.8807
688618.SH,20250430,20241231,3.7477,3.2453,60.5282,9.1986,73475391.09,0.5928,7.8044
688618.SH,20241031,20240930,3.7914,3.4287,63.5702,13.6095,54053304.42,0.4056,7.8412
688618.SH,20240829,20240630,2.9013,2.6713,63.4844,16.1987,33453775.55,0.3764,7.7565
688618.SH,20240426,20240331,1.7495,1.6008,64.2227,20.4813,15490651.09,0.2122,11.6773
688618.SH,20240327,20231231,12.9984,11.9356,56.9402,24.7618,61457106.49,0.6862,11.8518
688618.SH,20231031,20230930,9.32,8.3919,57.3175,24.6598,42656643.31,0.0377,11.3983
688618.SH,20230826,20230630,4.9637,4.4645,54.4042,19.796,27497554.12,-0.1627,10.879
688618.SH,20230427,20230331,1.4552,1.2427,58.707,15.9084,13613632.32,-0.0941,15.8921
688618.SH,20230427,20230331,1.4552,1.2427,58.707,15.9084,13613632.32,-0.0941,15.8921
688618.SH,20230329,20221231,12.7692,11.0783,58.196,28.4345,57669665.83,0.7683,15.676
688618.SH,20230329,20221231,12.7692,11.0783,58.196,28.4345,57669665.83,0.7683,15.676
688618.SH,20221029,20220930,8.3983,7.1377,59.3271,27.8752,41576076.89,0.0484,14.9715
688618.SH,20221029,20220930,8.3983,7.1377,59.3271,27.8752,41576076.89,0.0484,14.9715
688618.SH,20220824,20220630,4.166,3.4422,58.2395,22.7265,27690114.36,0.0185,14.343
688618.SH,20220824,20220630,4.166,3.4422,58.2395,22.7265,27690114.36,0.0185,14.343
688618.SH,20220430,20220331,1.1918,0.9523,58.1249,15.4058,12936359.97,-0.1094,14.2795
688618.SH,20220430,20220331,1.1918,0.9523,58.1249,15.4058,12936359.97,-0.1094,14.2795
688618.SH,20220423,20211231,8.7208,7.8733,60.362,23.7491,53579488.37,0.4617,14.1103
688618.SH,20220423,20211231,8.7208,7.8733,60.362,23.7491,53579488.37,0.4617,14.1103
688618.SH,20211028,20210930,6.1465,5.7731,60.6593,24.4423,37717497.56,0.2564,13.7462
688618.SH,20211028,20210930,6.1465,5.7731,60.6593,24.4423,37717497.56,0.2564,13.7462
688618.SH,20210830,20210630,3.733,3.6508,61.4864,23.9009,24169951.13,0.1637,13.4134
688618.SH,20210830,20210630,3.733,3.6508,61.4864,23.9009,24169951.13,0.1637,13.4134
688618.SH,20210429,20210331,0.8543,0.6994,61.0463,14.8706,11350244.46,0.1644,13.4288
688618.SH,20210429,20210331,0.8543,0.6994,61.0463,14.8706,11350244.46,0.1644,13.4288
688618.SH,20210423,20201231,14.3715,13.4524,64.8505,30.8003,36776100.59,0.7131,13.3145
688618.SH,20210423,20201231,14.3715,13.4524,64.8505,30.8003,36776100.59,0.7131,13.3145
