ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
300101.SZ,20260429,20260331,-0.2315,-0.3424,58.7469,-8.7356,,-0.1203,3.1034
300101.SZ,20260428,20251231,1.5978,1.3138,54.3913,2.6084,215042862.26,0.0404,3.101
300101.SZ,20251030,20250930,5.1179,3.7282,61.2316,13.3672,,0.0151,3.2461
300101.SZ,20250827,20250630,3.6601,2.3105,61.5364,13.3145,100996595.41,-0.011,3.1694
300101.SZ,20250425,20250331,0.4762,0.2538,61.1556,3.3292,,0.0639,3.1817
300101.SZ,20250331,20241231,2.2867,1.0697,52.9114,4.9578,213105429.84,0.2434,3.1381
300101.SZ,20241028,20240930,4.1022,2.7066,56.2774,12.4975,,0.0246,3.086
300101.SZ,20240829,20240630,2.7554,1.8625,56.7764,13.0874,84076229.56,0.0063,3.1251
300101.SZ,20240424,20240331,0.9188,0.4632,58.8638,8.6693,,-0.1122,3.0683
300101.SZ,20240326,20231231,4.4752,2.2184,54.6288,6.5887,202290415.14,0.0783,3.0402
300101.SZ,20231030,20230930,8.644,5.9552,65.213,23.2097,91208111.05,-0.1727,3.1737
300101.SZ,20230828,20230630,6.6859,4.5569,65.2706,25.0235,74393720.7,-0.1378,3.0957
300101.SZ,20230425,20230331,3.174,2.099,68.5331,26.0587,32995057.87,-0.1818,2.9727
300101.SZ,20230425,20230331,3.174,2.099,68.5331,26.0587,32995057.87,-0.1818,2.9727
300101.SZ,20230419,20221231,21.7784,14.5004,55.3818,26.084,146275312.41,0.0815,2.7289
300101.SZ,20230419,20221231,21.7784,14.5004,55.3818,26.084,146275312.41,0.0815,2.7289
300101.SZ,20221026,20220930,16.0797,10.7272,62.9013,31.2249,80267294.32,0.0405,2.5387
300101.SZ,20221026,20220930,16.0797,10.7272,62.9013,31.2249,80267294.32,0.0405,2.5387
300101.SZ,20220830,20220630,12.5663,8.3624,64.0409,33.4138,40179571.53,-0.0941,2.4293
300101.SZ,20220830,20220630,12.5663,8.3624,64.0409,33.4138,40179571.53,-0.0941,2.4293
300101.SZ,20220419,20220331,5.3611,3.7425,59.6269,35.8057,18307597.01,-0.0416,2.3132
300101.SZ,20220419,20220331,5.3611,3.7425,59.6269,35.8057,18307597.01,-0.0416,2.3132
300101.SZ,20220419,20211231,13.5174,7.7256,56.5757,17.3278,115181461.84,0.1534,2.1922
300101.SZ,20220419,20211231,13.5174,7.7256,56.5757,17.3278,115181461.84,0.1534,2.1922
300101.SZ,20211029,20210930,11.2496,7.2427,57.1865,24.5815,64957982.89,-0.1655,2.1406
300101.SZ,20211029,20210930,11.2496,7.2427,57.1865,24.5815,64957982.89,-0.1655,2.1406
300101.SZ,20210730,20210630,7.521,4.8828,59.2748,22.9478,45096619.02,-0.158,1.965
