ts_code,ann_date,end_date,roe,roa,grossprofit_margin,netprofit_margin,rd_exp,ocfps,bps
688589.SH,20260425,20260331,-0.3533,-0.0394,38.5545,-5.2718,18705052.49,0.0885,6.5372
688589.SH,20260425,20260331,-0.3533,-0.0394,38.5545,-5.2718,18705052.49,0.0885,6.5372
688589.SH,20260327,20251231,1.9421,2.2367,45.2765,5.7469,89229574.66,0.5089,6.5625
688589.SH,20251028,20250930,2.1103,2.1575,46.2673,8.2947,65600714.1,0.3368,6.5832
688589.SH,20250828,20250630,2.3401,2.1671,47.5488,12.5307,43858958.67,0.2738,6.6002
688589.SH,20250828,20250630,2.3401,2.1671,47.5488,12.5307,43858958.67,0.2738,6.6002
688589.SH,20250425,20250331,1.1718,1.1647,47.2937,12.8781,,-0.3428,8.1301
688589.SH,20250327,20241231,8.1088,6.6009,44.5356,15.3666,89016767.18,0.7315,8.0716
688589.SH,20241019,20240930,4.9614,4.0003,43.2328,13.3194,,0.2649,7.6877
688589.SH,20240824,20240630,4.1779,3.4385,46.1276,16.0239,40570164.89,0.1771,7.6155
688589.SH,20240416,20240331,2.2882,1.9125,52.2698,17.9857,,0.041,9.3414
688589.SH,20240327,20231231,11.7114,9.3781,41.9229,18.4546,81973707.39,2.7122,9.1068
688589.SH,20240327,20231231,11.7114,9.3781,41.9229,18.4546,81973707.39,2.7122,9.1068
688589.SH,20231024,20230930,9.1259,7.4132,40.4989,18.1496,48916550.6,2.4058,8.8265
688589.SH,20230824,20230630,6.0907,5.1229,41.2404,20.0246,35267167.21,0.7795,8.4363
688589.SH,20230425,20230331,2.5765,2.2178,41.384,19.2315,16225575.48,0.5782,8.3773
688589.SH,20230425,20230331,2.5765,2.2178,41.384,19.2315,16225575.48,0.5782,8.3773
688589.SH,20230323,20221231,9.6084,7.8367,41.2997,14.9007,77841375.73,-0.4728,8.1479
688589.SH,20230323,20221231,9.6084,7.8367,41.2997,14.9007,77841375.73,-0.4728,8.1479
688589.SH,20221028,20220930,6.6868,5.8224,40.0193,14.7042,52608012.18,-0.5025,7.8951
688589.SH,20221028,20220930,6.6868,5.8224,40.0193,14.7042,52608012.18,-0.5025,7.8951
688589.SH,20220819,20220630,4.2046,3.5987,39.4655,14.2424,35257455.85,-0.233,7.6363
688589.SH,20220819,20220630,4.2046,3.5987,39.4655,14.2424,35257455.85,-0.233,7.6363
688589.SH,20220423,20220331,1.7866,1.4906,41.0506,13.8389,15425316.44,-0.3393,7.6218
688589.SH,20220423,20220331,1.7866,1.4906,41.0506,13.8389,15425316.44,-0.3393,7.6218
688589.SH,20220324,20211231,5.7495,5.0197,41.5637,11.6746,56348046.87,0.373,7.4627
688589.SH,20220324,20211231,5.7495,5.0197,41.5637,11.6746,56348046.87,0.373,7.4627
688589.SH,20211028,20210930,2.4179,2.1273,43.9462,8.6913,39317879.74,-0.1943,7.1925
688589.SH,20211028,20210930,2.4179,2.1273,43.9462,8.6913,39317879.74,-0.1943,7.1925
688589.SH,20210827,20210630,2.2602,2.063,46.3234,11.6531,25900782.35,0.162,7.172
688589.SH,20210827,20210630,2.2602,2.063,46.3234,11.6531,25900782.35,0.162,7.172
688589.SH,20210423,20210331,0.179,0.0461,43.9677,3.1389,11365358.46,-0.0289,7.1731
688589.SH,20210423,20210331,0.179,0.0461,43.9677,3.1389,11365358.46,-0.0289,7.1731
688589.SH,20210322,20201231,5.6848,4.2075,49.8699,12.9021,45976662.9,0.0271,7.1602
688589.SH,20210322,20201231,5.6848,4.2075,49.8699,12.9021,45976662.9,0.0271,7.1602
688589.SH,20201026,20200930,1.8115,1.6936,46.5203,5.9447,31683657.01,-0.347,6.9696
688589.SH,20201026,20200930,1.8115,1.6936,46.5203,5.9447,31683657.01,-0.347,6.9696
