primary_category,event_count,avg_actual_mv_return_p0_p20,median_actual_mv_change_yi_p0_p20,abs_actual_mv_change_yi_p0_p20,avg_car_m1_p1,avg_car_p0_p5,avg_car_p0_p20,median_impact_yi_p0_p20,abs_impact_yi_p0_p20
其他,2044,0.015546091229221263,-0.05086851999999781,20527.88084811,0.0024842639910073617,0.0031538581621004566,-0.00229263117544963,-0.45406909449037514,18451.669036235387
资本动作,1613,0.01639980869960286,0.1558079999999958,18271.279358199998,0.002086091358899418,0.0036130860250051665,0.0026013479201724083,-0.7474455144000002,16539.86088184692
产品/技术创新,535,0.011473571239908787,-0.22934570000000531,6557.53681356,0.002200511568758344,-0.002665685226969293,-0.0027953402024922134,-0.6988291200000001,5423.607913450682
业绩信号,557,0.026599054263818485,0.33183584000000266,5266.061629129999,0.005087526588014021,-0.0016532150209455415,-0.0007925902539112594,-0.729070800000001,4745.1864252343275
管理层/投关信号,611,0.022262753749889688,0.3114650000000023,5748.050919990001,0.0010778468981373233,0.0005809704816460136,-0.008801545469955575,-1.2077290490265011,4640.172796008588
政策/行业,337,0.01982818442539317,-0.44222158000000056,4539.3994121099995,0.009454907202910838,0.005776244199519571,0.00487208210753144,-0.7565258666680004,3564.8344763578903
风险事件,293,0.022691552968267855,0.5820647899999982,2789.44525668,0.0032583524093937905,0.004950799065496507,0.010460174252397208,-0.28857959999999966,2549.9712292223403
客户/订单,113,-0.010196434140364903,-0.5454400900000008,1252.52067725,0.0051317755162241865,-0.006152590149599664,-0.01237580056890013,-1.5288149116144611,1287.5998253998403
