ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p
688159.SH,20260430,20260430,20260331,1,549091583.49,549091583.49,31417909.96,31418250.82,27458482.92,27806020.27
688159.SH,20260430,20260430,20251231,1,2405293805.69,2405293805.69,21080763.54,20649127.89,25609078.17,27341325.51
688159.SH,20251030,20260430,20250930,1,2175314798.15,2175314798.15,90729171.85,89753293.51,81796837.53,83425548.09
688159.SH,20251030,20251030,20250930,1,3035747758.95,3035747758.95,90729171.85,89753293.51,81796837.53,83425548.09
688159.SH,20250828,20260430,20250630,1,1673117443.08,1673117443.08,69174373.58,68430411.33,62537761.22,63564096.47
688159.SH,20250828,20250828,20250630,1,2452259861.9,2452259861.9,69174373.58,68430411.33,62537761.22,63564096.47
688159.SH,20250430,20250430,20250331,1,1057757239.81,1057757239.81,20743979.44,20314322.89,16865231.74,17599519.06
688159.SH,20250430,20250430,20241231,1,3069150858.65,3069150858.65,95339304.65,97397022.73,95759518.64,100246267.87
688159.SH,20241030,20241030,20240930,1,2569560980.08,2569560980.08,103571359.59,103484589.52,91945019.62,95278381.32
688159.SH,20240830,20240830,20240630,1,1763511726.05,1763511726.05,89760776.19,89755859.97,79492098.38,81592264.23
688159.SH,20240430,20240430,20240331,1,862350045.17,862350045.17,67074587.7,67073667.52,57544244.52,58730402.96
688159.SH,20240430,20240430,20240331,1,862350045.17,862350045.17,67074587.7,67073667.52,57544244.52,58730402.96
688159.SH,20240430,20240430,20231231,1,931924935.66,931924935.66,-56132096.51,-56148920.21,-41562394.21,-38431553.37
688159.SH,20231031,20231031,20230930,1,708584860.64,708584860.64,-58031824.75,-58075108.12,-44934539.09,-43663965.98
688159.SH,20230830,20230830,20230630,1,419143624.25,419143624.25,-55385267.51,-55358123.34,-45136770.67,-44478561.9
688159.SH,20230428,20230428,20230331,1,187984219.17,187984219.17,-24154592.53,-24151579.57,-19885660.3,-19553651.85
688159.SH,20230428,20230428,20221231,1,839584568.88,839584568.88,-82760124.31,-79131160.03,-57328699.4,-56926039.23
688159.SH,20230428,20230428,20221231,1,839584568.88,839584568.88,-82760124.31,-79131160.03,-57328699.4,-56926039.23
688159.SH,20221031,20221031,20220930,1,582176048.76,582176048.76,-36250752.84,-36314798.48,-24603879.5,-24269523.98
688159.SH,20220830,20220830,20220630,1,351203972.54,351203972.54,-22685571.36,-22750316.75,-14994768.21,-14882904.22
688159.SH,20220429,20220429,20220331,1,146785887.64,146785887.64,-8200746.82,-8255083.69,-6624926.27,-6315627.96
688159.SH,20220429,20220429,20220331,1,146785887.64,146785887.64,-8200746.82,-8255083.69,-6624926.27,-6315627.96
688159.SH,20220429,20220429,20211231,1,1024558178.66,1024558178.66,-25363334.38,-25539251.16,-13974904.12,-12964008.42
688159.SH,20220429,20220429,20211231,1,1024558178.66,1024558178.66,-25363334.38,-25539251.16,-13974904.12,-12964008.42
688159.SH,20211030,20211030,20210930,1,684802692.65,684802692.65,-10713144.63,-10848776.2,-10554222.19,-10312183.59
688159.SH,20211030,20211030,20210930,1,684802692.65,684802692.65,-10713144.63,-10848776.2,-10554222.19,-10312183.59
688159.SH,20210830,20210830,20210630,1,412386318.89,412386318.89,-19465434.34,-19464464.97,-17344590.31,-17344488.31
688159.SH,20210429,20210429,20210331,1,131076367.46,131076367.46,-28000733.73,-27999183.11,-23923018.46,-23923018.46
688159.SH,20210427,20210427,20201231,1,573615812.03,573615812.03,-97099746.74,-97139497.69,-75064760.61,-75064760.61
688159.SH,20210427,20210427,20201231,1,573615812.03,573615812.03,-97099746.74,-97139497.69,-75064760.61,-75064760.61
688159.SH,20201029,20201029,20200930,1,432009625.37,432009625.37,-48084158.37,-48119436.26,-41356972.2,-41356972.2
688159.SH,20201029,20201029,20200930,1,432009625.37,432009625.37,-48084158.37,-48119436.26,-41356972.2,-41356972.2
688159.SH,20200820,20200820,20200630,1,278902084.26,278902084.26,-30528420.38,-30563201.12,-26499525.97,-26499525.97
688159.SH,20200820,20200820,20200630,1,278902084.26,278902084.26,-30528420.38,-30563201.12,-26499525.97,-26499525.97
688159.SH,20200429,20200429,20200331,1,114714005.47,114714005.47,-10497601.62,-10498209.39,-9633019.08,-9633019.08
688159.SH,20200429,20200429,20200331,1,114714005.47,114714005.47,-10497601.62,-10498209.39,-9633019.08,-9633019.08
688159.SH,20200415,20200415,20191231,1,782167255.47,782167255.47,59908947.39,59847719.14,54560490.98,54560490.98
688159.SH,20200415,20200415,20191231,1,782167255.47,782167255.47,59908947.39,59847719.14,54560490.98,54560490.98
