ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p
301608.SZ,20260421,20260421,20260331,1,418161767.32,418161767.32,59919819.81,60005605.02,55103121.14,55103121.14
301608.SZ,20260421,20260421,20260331,1,418161767.32,418161767.32,59919819.81,60005605.02,55103121.14,55103121.14
301608.SZ,20260421,20260421,20251231,1,1711517711.87,1711517711.87,260886748.46,260860812.81,234722619.86,234722619.86
301608.SZ,20251024,20251024,20250930,1,1271913161.41,1271913161.41,200595532.29,200587218.06,180473553.19,180473553.19
301608.SZ,20250828,20250828,20250630,1,804988350.19,804988350.19,118826809.91,118795369.05,107783088.79,107783088.79
301608.SZ,20250423,20250423,20250331,1,347516437.32,347516437.32,43875230.73,43827749.29,40302710.36,40302710.36
301608.SZ,20250423,20250423,20241231,1,1401681238.39,1401681238.39,192782777.56,192515364.31,175624947.48,175624947.48
301608.SZ,20241028,20241028,20240930,1,1045488501.8,1045488501.8,150697347.39,150401040.43,134734939.35,134734939.35
301608.SZ,20240829,20240829,20240630,1,669890139.76,669890139.76,100730279.36,100472990.14,90523986.06,90523986.06
301608.SZ,20241028,20241028,20230930,1,845876324.17,845876324.17,148965095.5,149008372.55,134502125.86,134502125.86
