ts_code,ann_date,f_ann_date,end_date,report_type,total_revenue,revenue,operate_profit,total_profit,n_income,n_income_attr_p
002373.SZ,20260428,20260428,20260331,1,1312997127.87,1312997127.87,14847186.25,14182736.43,975922.85,3735872.63
002373.SZ,20260428,20260428,20260331,1,1312997127.87,1312997127.87,14847186.25,14182736.43,975922.85,3735872.63
002373.SZ,20260418,20260418,20251231,1,8217084168.55,8217084168.55,341941166.5,336325170.72,291056631.3,268437221.39
002373.SZ,20251023,20251023,20250930,1,5255890421.45,5255890421.45,184343044.19,179095641.42,178938520.87,188938732.92
002373.SZ,20250822,20250822,20250630,1,3309968830.64,3309968830.64,184895488.65,184733935.25,171818327.43,169714357.1
002373.SZ,20250428,20250428,20250331,1,1608725534.78,1608725534.78,299673750.43,300049619.0,226152486.85,220978179.61
002373.SZ,20250419,20250419,20241231,1,7249136140.37,7249136140.37,-1147802796.76,-1155727421.01,-1202420588.37,-1192543351.64
002373.SZ,20241030,20241030,20240930,1,5408268340.89,5408268340.89,-54559627.11,-55848877.33,2823176.39,15758481.54
002373.SZ,20240827,20240827,20240630,1,3567036338.94,3567036338.94,-33466021.97,-33243698.29,3586169.36,12235035.26
002373.SZ,20240425,20240425,20240331,1,1579763554.22,1579763554.22,-93363649.38,-93022012.43,-60244656.28,-57848977.03
002373.SZ,20240418,20240418,20231231,1,7793720542.19,7793720542.19,507741396.5,508072379.5,571279930.04,542401012.75
002373.SZ,20231026,20231026,20230930,1,5251533758.26,5251533758.26,282347079.68,281169093.41,323778407.79,323537114.36
002373.SZ,20231026,20231026,20230930,1,5251533758.26,5251533758.26,282347079.68,281169093.41,323778407.79,323537114.36
002373.SZ,20230823,20230823,20230630,1,3357620475.61,3357620475.61,263753877.34,262352229.23,282300852.59,285090422.03
002373.SZ,20230420,20230420,20230331,1,1568174454.94,1568174454.94,155750737.99,155547399.06,157557460.81,157572475.65
002373.SZ,20230420,20230420,20221231,1,7003429253.34,7003429253.34,-664114273.79,-671470064.98,-477701038.87,-482588902.0
002373.SZ,20230420,20230420,20221231,1,7003429253.34,7003429253.34,-664114273.79,-671470064.98,-477701038.87,-482588902.0
002373.SZ,20221027,20221027,20220930,1,4843992710.52,4843992710.52,-286154729.56,-290533764.95,-185838125.52,-186840786.52
002373.SZ,20220818,20220818,20220630,1,3116302187.43,3116302187.43,-159026999.69,-164221913.13,-92811288.43,-92611166.79
002373.SZ,20220427,20220427,20220331,1,1312321359.15,1312321359.15,-318107452.91,-317956603.18,-263871061.44,-255865504.85
002373.SZ,20220330,20220330,20211231,1,10281096020.39,10281096020.39,789042595.69,783527811.52,809549605.22,724019294.34
002373.SZ,20220330,20220330,20211231,1,10281096020.39,10281096020.39,789042595.69,783527811.52,809549605.22,724019294.34
002373.SZ,20211026,20211026,20210930,1,6751666552.17,6751666552.17,605436874.46,607282905.0,592604048.4,555463171.55
002373.SZ,20210811,20210811,20210630,1,4124141743.83,4124141743.83,532759556.71,532169282.44,512869585.96,506720458.36
002373.SZ,20210424,20210424,20210331,1,1776155035.67,1776155035.67,145748428.2,145640430.79,141859243.63,140210107.44
002373.SZ,20210331,20210331,20201231,1,9418895592.43,9418895592.43,1266835929.96,1239618362.19,1151417937.74,1080858196.93
002373.SZ,20210331,20210331,20201231,1,9418895592.43,9418895592.43,1266835929.96,1239618362.19,1151417937.74,1080858196.93
002373.SZ,20201028,20201028,20200930,1,5840021682.02,5840021682.02,877049921.32,851560376.76,775465337.54,736815506.68
002373.SZ,20201028,20201028,20200930,1,5840021682.02,5840021682.02,877049921.32,851560376.76,775465337.54,736815506.68
002373.SZ,20200820,20200820,20200630,1,3714157162.72,3714157162.72,587518544.5,562336400.68,512118783.81,473810723.88
002373.SZ,20200820,20200820,20200630,1,3714157162.72,3714157162.72,587518544.5,562336400.68,512118783.81,473810723.88
002373.SZ,20200427,20200427,20200331,1,1652193450.04,1652193450.04,192893108.5,168868986.61,155838259.53,115263665.51
002373.SZ,20200415,20200415,20191231,1,8722189767.58,8722189767.58,1173930533.27,1154451201.74,1072812050.91,1013374155.73
002373.SZ,20200415,20200415,20191231,1,8722189767.58,8722189767.58,1173930533.27,1154451201.74,1072812050.91,1013374155.73
002373.SZ,20191024,20191024,20190930,1,5693502141.7,5693502141.7,659429296.4,659286441.04,624347998.29,591326723.4
002373.SZ,20191024,20191024,20190930,1,5693502141.7,5693502141.7,659429296.4,659286441.04,624347998.29,591326723.4
002373.SZ,20190809,20190809,20190630,1,3586054212.65,3586054212.65,409182237.55,409547940.27,395917087.12,374304911.17
002373.SZ,20190809,20190809,20190630,1,3586054212.65,3586054212.65,409182237.55,409547940.27,395917087.12,374304911.17
002373.SZ,20190424,20190424,20190331,1,1644506560.91,1644506560.91,158512122.03,158563886.03,152999779.61,152411561.59
002373.SZ,20190410,20190410,20181231,1,7251295291.37,7251295291.37,957075671.32,957382879.01,889489362.05,762614387.43
002373.SZ,20190410,20190410,20181231,1,7251295291.37,7251295291.37,957075671.32,957382879.01,889489362.05,762614387.43
