ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
688159.SH,20260430,20260430,20260331,3014762363.25,2081331790.53,933430572.72,2570381612.48,1575093214.07
688159.SH,20260430,20260430,20251231,2506231548.18,1611459401.1,894772147.08,2051859293.0,1372506198.7
688159.SH,20251030,20251030,20250930,2538899632.03,1591806385.9,947093246.13,2100160438.52,1388160483.79
688159.SH,20250828,20250828,20250630,2529425067.44,1602197311.18,927227756.26,2082013830.22,1516087205.79
688159.SH,20250430,20250430,20250331,2130246770.83,1258076394.22,872170376.61,1693708825.43,1199251081.87
688159.SH,20250430,20250430,20241231,1774025769.8,919717338.13,854308431.67,1339953645.56,915546474.68
688159.SH,20241030,20241030,20240930,1935532175.04,1093573509.61,841958665.43,1489213354.28,1074601254.62
688159.SH,20240830,20240830,20240630,1714725382.23,884276096.01,830449286.22,1262269176.35,863360531.11
688159.SH,20240430,20240430,20240331,1706846206.72,898726230.87,808119975.85,1249590954.37,874880406.51
688159.SH,20240430,20240430,20240331,1706846206.72,898726230.87,808119975.85,1249590954.37,874880406.51
688159.SH,20240430,20240430,20231231,1569234163.27,822287891.37,746946271.9,1094692322.31,797286288.31
688159.SH,20240430,20240430,20231231,1569234163.27,822287891.37,746946271.9,1094692322.31,797286288.31
688159.SH,20231031,20231031,20230930,1448861631.36,710975486.99,737886144.37,991448531.88,703493190.73
688159.SH,20230830,20230830,20230630,1377612496.8,639925984.38,737686512.42,928046288.88,632658721.91
688159.SH,20230830,20230830,20230630,1377612496.8,639925984.38,737686512.42,928046288.88,632658721.91
688159.SH,20230428,20230428,20230331,1376574848.84,619544967.69,757029881.15,939150691.92,611381988.92
688159.SH,20230428,20230428,20221231,1367206696.92,590791155.47,776415541.45,941647201.16,580162921.68
688159.SH,20230428,20230428,20221231,1367206696.92,590791155.47,776415541.45,941647201.16,580162921.68
688159.SH,20221031,20221031,20220930,1446717923.3,635590190.96,811127732.34,1036713816.13,629300487.96
688159.SH,20220830,20220830,20220630,1417655561.83,596918718.2,820736843.63,1016461131.94,590140944.53
688159.SH,20220429,20220429,20220331,1456082405.53,627312589.96,828769815.57,1068484836.9,618550352.52
688159.SH,20220429,20220429,20220331,1456082405.53,627312589.96,828769815.57,1068484836.9,618550352.52
688159.SH,20220429,20220429,20211231,1502324765.76,666930023.92,835394741.84,1122903535.67,656947660.82
688159.SH,20211030,20211030,20210930,1466078682.38,633679542.67,832399139.71,1127969112.51,624746011.55
688159.SH,20211030,20211030,20210930,1466078682.38,633679542.67,832399139.71,1127969112.51,624746011.55
688159.SH,20210830,20210830,20210630,1433470747.58,607960915.91,825509831.67,1101047707.25,562177874.17
688159.SH,20210429,20210429,20210331,1310851490.61,491920087.09,818931403.52,979335892.14,445541004.16
688159.SH,20210429,20210429,20210331,1310851490.61,491920087.09,818931403.52,979335892.14,445541004.16
688159.SH,20210427,20210427,20201231,1297753616.75,454899194.77,842854421.98,990180383.41,425584478.65
688159.SH,20210427,20210427,20201231,1297753616.75,454899194.77,842854421.98,990180383.41,425584478.65
688159.SH,20201029,20201029,20200930,1307865616.86,431303406.47,876562210.39,1063417831.69,401957052.68
688159.SH,20200820,20200820,20200630,1333524851.4,442105194.78,891419656.62,1120158355.51,412785806.3
688159.SH,20200820,20200820,20200630,1333524851.4,442105194.78,891419656.62,1120158355.51,412785806.3
688159.SH,20200429,20200429,20200331,1357570255.74,441858053.13,915712202.61,1151353215.8,378295175.88
688159.SH,20200415,20200415,20191231,988246574.5,475564221.37,512682353.13,789176644.23,409857038.37
688159.SH,20200415,20200415,20191231,988246574.5,475564221.37,512682353.13,789176644.23,409857038.37
