ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
688618.SH,20260430,20260430,20260331,1041297736.52,215668375.35,825629361.17,734716802.51,155456357.07
688618.SH,20260430,20260430,20251231,1061055394.22,203808288.36,857247105.86,784130476.74,158472050.43
688618.SH,20251031,20251031,20250930,1048658785.14,171145729.9,877513055.24,772648713.6,148549185.86
688618.SH,20250829,20250829,20250630,1076827325.55,216257313.3,860570012.25,793677442.0,181021878.15
688618.SH,20250430,20250430,20250331,1027776021.9,158018044.28,869757977.62,761029002.7,122237560.9
688618.SH,20250430,20250430,20241231,1004468958.58,143136699.22,861332259.36,736216664.37,109081796.41
688618.SH,20241031,20241031,20240930,1062354540.67,197157707.51,865196833.16,773656451.7,158822795.89
688618.SH,20240829,20240829,20240630,1085725377.41,229878115.99,855847261.42,793771253.13,189746653.84
688618.SH,20240426,20240426,20240331,1087586542.04,210314835.76,877271706.28,815198363.69,169674466.16
688618.SH,20240327,20240327,20231231,1080068468.07,189688431.12,890380036.95,841659699.11,185859432.6
688618.SH,20240327,20240327,20231231,1080068468.07,189688431.12,890380036.95,841659699.11,185859432.6
688618.SH,20231031,20231031,20230930,1054762702.13,199691178.32,855071523.81,818637564.76,195850207.73
688618.SH,20230826,20230826,20230630,984821875.62,169256292.7,815565582.92,763353433.44,165013084.86
688618.SH,20230826,20230826,20230630,984821875.62,169256292.7,815565582.92,763353433.44,165013084.86
688618.SH,20230427,20230427,20230331,995768680.43,190478919.05,805289761.38,789176316.91,186814444.77
688618.SH,20230329,20230329,20221231,1000078607.96,208711511.78,791367096.18,802005147.95,206803165.63
688618.SH,20230329,20230329,20221231,1000078607.96,208711511.78,791367096.18,802005147.95,206803165.63
688618.SH,20221029,20221029,20220930,957058211.16,201135057.95,755923153.21,772530320.41,199731186.38
688618.SH,20220824,20220824,20220630,876854498.14,152428339.97,724426158.17,709197530.46,149998734.32
688618.SH,20220430,20220430,20220331,867319859.15,146022451.87,721297407.28,716314148.99,142572416.9
688618.SH,20220423,20220423,20211231,868770636.45,155874122.75,712896513.7,725354971.43,151420383.09
688618.SH,20211028,20211028,20210930,829937836.15,135379041.19,694558794.96,714125544.97,126884249.83
688618.SH,20211028,20211028,20210930,829937836.15,135379041.19,694558794.96,714125544.97,126884249.83
688618.SH,20210830,20210830,20210630,780677347.04,102932506.37,677744840.67,693669974.81,93586593.05
688618.SH,20210429,20210429,20210331,766042009.29,87520823.74,678521185.55,708344833.53,77332977.7
688618.SH,20210429,20210429,20210331,766042009.29,87520823.74,678521185.55,708344833.53,77332977.7
688618.SH,20210423,20210423,20201231,758609184.17,85860228.54,672748955.63,731955755.09,85860228.54
688618.SH,20210423,20210423,20201231,758609184.17,85860228.54,672748955.63,731955755.09,85860228.54
