ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
603236.SH,20260424,20260424,20260331,18950539852.97,11985753732.03,6964786120.94,15600043085.48,10940257375.64
603236.SH,20260424,20260424,20260331,18950539852.97,11985753732.03,6964786120.94,15600043085.48,10940257375.64
603236.SH,20260424,20260424,20251231,16914382041.4,10091379036.1,6823003005.3,13641779612.09,9097945603.51
603236.SH,20251024,20251024,20250930,14650437037.79,10152777171.65,4497659866.14,11306205815.59,9166056844.54
603236.SH,20250815,20250815,20250630,13906754110.79,9525712652.21,4381041458.58,10850680680.98,8653494144.01
603236.SH,20250429,20250429,20250331,13694085110.98,9467922317.85,4226162793.13,10689788544.44,8332459619.46
603236.SH,20250424,20250424,20241231,12980186345.52,8961707280.81,4018479064.71,10063244982.16,7826804307.36
603236.SH,20241022,20241022,20240930,11757754780.03,7962124335.68,3795630444.35,9133837519.62,6196091329.98
603236.SH,20240827,20240827,20240630,11385691030.82,7668862009.58,3716829021.24,8741240049.35,5677773612.57
603236.SH,20240423,20240423,20240331,11777788663.39,8166847844.19,3610940819.2,9111855824.75,6164550035.28
603236.SH,20240423,20240423,20231231,11233006183.51,7608802136.8,3624204046.71,8534511595.82,5575185726.59
603236.SH,20240423,20240423,20231231,11233006183.51,7608802136.8,3624204046.71,8534511595.82,5575185726.59
603236.SH,20231026,20231026,20230930,10705645091.18,7202528976.69,3503116114.49,8098349175.74,5236292248.78
603236.SH,20230815,20230815,20230630,10968233993.14,7539794850.33,3428439142.81,8380636595.5,5481128247.14
603236.SH,20230815,20230815,20230630,10968233993.14,7539794850.33,3428439142.81,8380636595.5,5481128247.14
603236.SH,20230425,20230425,20230331,10647934910.67,7049360142.1,3598574768.57,8672981435.33,5958567913.73
603236.SH,20230425,20230425,20230331,10647934910.67,7049360142.1,3598574768.57,8672981435.33,5958567913.73
603236.SH,20230425,20230425,20221231,10273173226.84,6553456413.31,3719716813.53,8300766039.74,5525190015.71
603236.SH,20230425,20230425,20221231,10273173226.84,6553456413.31,3719716813.53,8300766039.74,5525190015.71
603236.SH,20221029,20221029,20220930,9327421371.72,5794713642.13,3532707729.59,7507139411.97,5536415311.06
603236.SH,20220824,20220824,20220630,9069430796.54,5687935519.69,3381495276.85,7503008882.18,5438429938.23
603236.SH,20220429,20220429,20220331,8741878707.29,5408897831.09,3332980876.2,7172337028.23,5115458474.04
603236.SH,20220416,20220416,20211231,8140021182.48,4930720557.08,3209300625.4,6594990986.41,4635305738.07
603236.SH,20211026,20211026,20210930,8067293410.13,4947841325.6,3119452084.53,6674445224.21,4654623515.22
603236.SH,20211026,20211026,20210930,8067293410.13,4947841325.6,3119452084.53,6674445224.21,4654623515.22
603236.SH,20210824,20210824,20210630,7597912358.63,4583260561.18,3014651797.45,6340975174.51,4286050391.07
603236.SH,20210429,20210429,20210331,6227700299.51,3233998499.98,2993701799.53,5274648362.92,3101067157.35
603236.SH,20210429,20210429,20210331,6227700299.51,3233998499.98,2993701799.53,5274648362.92,3101067157.35
603236.SH,20210420,20210420,20201231,4601246090.65,2732569791.71,1868676298.94,3711429582.73,2643119791.71
603236.SH,20210420,20210420,20201231,4601246090.65,2732569791.71,1868676298.94,3711429582.73,2643119791.71
603236.SH,20201030,20201030,20200930,4154358882.12,2351870631.23,1802488250.89,3428544062.84,2321870631.23
603236.SH,20200825,20200825,20200630,3989309233.77,2244665364.33,1744643869.44,3446574222.56,2214665364.33
603236.SH,20200825,20200825,20200630,3989309233.77,2244665364.33,1744643869.44,3446574222.56,2214665364.33
603236.SH,20200429,20200429,20200331,3299115040.1,1547819848.15,1751295191.95,2885091372.19,1547819848.15
603236.SH,20200415,20200415,20191231,2931973545.61,1217250423.43,1714723122.18,2558000560.7,1217250423.43
603236.SH,20200415,20200415,20191231,2931973545.61,1217250423.43,1714723122.18,2558000560.7,1217250423.43
603236.SH,20191031,20191031,20190930,2735045970.88,1077048223.18,1657997747.7,2487311162.82,1077048223.18
603236.SH,20190829,20190829,20190630,1481321391.01,743518225.63,737803165.38,1306187753.76,743518225.63
