ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
300183.SZ,20260424,20260424,20260331,3489252948.27,390065674.68,3099187273.59,2250168633.78,376308405.05
300183.SZ,20260411,20260411,20251231,3494939510.36,377175157.96,3117764352.4,2250757030.51,364335979.7
300183.SZ,20251025,20251025,20250930,3479119472.98,382113932.51,3097005540.47,2257263616.37,369464563.34
300183.SZ,20250818,20250818,20250630,3549976396.92,428467572.5,3121508824.42,2339435352.82,404744450.94
300183.SZ,20250425,20250425,20250331,3534847839.7,376576998.13,3158270841.57,2540405467.44,352495745.53
300183.SZ,20250331,20250331,20241231,3564097626.04,409600499.09,3154497126.95,2577123521.81,386809785.7
300183.SZ,20241025,20241025,20240930,3579773590.21,401270521.14,3178503069.07,2749642020.04,376900668.26
300183.SZ,20240815,20240815,20240630,3552814145.4,401032244.45,3151781900.95,2733851864.76,375320319.63
300183.SZ,20240426,20240426,20240331,3484476765.8,336241573.11,3148235192.69,2689780415.22,309936064.31
300183.SZ,20240418,20240418,20231231,3521395832.86,379976360.36,3141419472.5,2711490543.62,350746334.72
300183.SZ,20240418,20240418,20231231,3521395832.86,379976360.36,3141419472.5,2711490543.62,350746334.72
300183.SZ,20231027,20231027,20230930,3421590506.59,276141196.86,3145449309.73,2627450325.8,245700530.45
300183.SZ,20230815,20230815,20230630,3466189546.96,338116394.09,3128073152.87,2665416142.48,305158893.22
300183.SZ,20230815,20230815,20230630,3466189546.96,338116394.09,3128073152.87,2665416142.48,305158893.22
300183.SZ,20230424,20230424,20230331,3480838531.2,316305966.08,3164532565.12,2671296896.66,281631591.05
300183.SZ,20230424,20230424,20221231,3581190245.82,429707255.88,3151482989.94,2758393766.14,392567603.65
300183.SZ,20230424,20230424,20221231,3581190245.82,429707255.88,3151482989.94,2758393766.14,392567603.65
300183.SZ,20221027,20221027,20220930,3462338414.38,382683135.99,3079655278.39,2661551121.98,344197542.21
300183.SZ,20220810,20220810,20220630,3362996952.22,320663920.26,3042333031.96,2564018637.64,278997980.7
300183.SZ,20220423,20220423,20220331,3403381684.49,319970436.0,3083411248.49,2599843527.56,280059056.01
300183.SZ,20220423,20220423,20211231,3411019099.96,348574055.78,3062445044.18,2596280937.53,307222241.0
300183.SZ,20211023,20211023,20210930,3253651309.59,255748104.68,2997903204.91,2417166552.41,208608324.04
300183.SZ,20211023,20211023,20210930,3253651309.59,255748104.68,2997903204.91,2417166552.41,208608324.04
300183.SZ,20210821,20210821,20210630,3159083163.91,198572593.53,2960510570.38,2335629715.91,154759476.95
300183.SZ,20210428,20210428,20210331,3260310816.42,223045085.85,3037265730.57,2432677304.52,176896837.16
300183.SZ,20210428,20210428,20201231,3237484448.09,224176943.58,3013307504.51,2416182623.91,178920938.42
300183.SZ,20210428,20210428,20201231,3237484448.09,224176943.58,3013307504.51,2416182623.91,178920938.42
300183.SZ,20201029,20201029,20200930,3176997126.0,241196252.47,2935800873.53,2410984276.64,213101068.37
300183.SZ,20200828,20200828,20200630,3232166419.74,337121526.7,2895044893.04,2458615944.49,308410428.82
300183.SZ,20200828,20200828,20200630,3232166419.74,337121526.7,2895044893.04,2458615944.49,308410428.82
300183.SZ,20200428,20200428,20200331,3234233989.48,280651294.77,2953582694.71,2521606469.92,251740448.16
300183.SZ,20200331,20200331,20191231,3232315993.79,303512808.97,2928803184.82,2500676291.24,273420381.07
300183.SZ,20200331,20200331,20191231,3232315993.79,303512808.97,2928803184.82,2500676291.24,273420381.07
