ts_code,ann_date,f_ann_date,end_date,total_assets,total_liab,total_hldr_eqy_inc_min_int,total_cur_assets,total_cur_liab
301608.SZ,20260421,20260421,20260331,2928260937.94,703985262.6,2224275675.34,2442926309.93,699654381.49
301608.SZ,20260421,20260421,20260331,2928260937.94,703985262.6,2224275675.34,2442926309.93,699654381.49
301608.SZ,20260421,20260421,20251231,2860436199.29,691263645.09,2169172554.2,2381644786.44,686710494.32
301608.SZ,20251024,20251024,20250930,2690863069.15,575939581.62,2114923487.53,2241274383.11,572077464.46
301608.SZ,20250828,20250828,20250630,2596665658.66,509376977.24,2087288681.42,2173067002.36,505379462.52
301608.SZ,20250423,20250423,20250331,2559986079.14,510232662.44,2049753416.7,2147633288.13,505130569.3
301608.SZ,20250423,20250423,20250331,2559986079.14,510232662.44,2049753416.7,2147633288.13,505130569.3
301608.SZ,20250423,20250423,20241231,2490324095.81,480873389.47,2009450706.34,2090255940.14,476341831.88
301608.SZ,20241028,20241028,20240930,2351637706.86,383077008.65,1968560698.21,2001499205.77,377087887.48
301608.SZ,20240829,20240829,20240630,1530278575.78,434076430.85,1096202144.93,1207919057.06,427287436.86
