结论,口径,winsor,样本,n,效应%,p
股东增减持/限售流通,rel_h60,5/95,剔极端反应,347,-2.2494141663747675,0.0007396472817493882
股东增减持/限售流通,rel_h60,5/95,剔2025-26,360,-1.6977609785231926,0.055825200937485706
股东增减持/限售流通,car_factor,无winsor,all,390,-1.7779768954163555,0.0005149235680446024
股东增减持/限售流通,car_factor,无winsor,剔极端反应,386,-1.476411663770996,0.0027549762474236386
股东增减持/限售流通,car_factor,无winsor,剔2025-26,355,-1.2706369486438462,0.017104036722441804
股东增减持/限售流通,car_factor,1/99,all,390,-1.759428279639733,0.00046951361543598187
股东增减持/限售流通,car_factor,1/99,剔极端反应,386,-1.4931103544732447,0.002269857661095819
股东增减持/限售流通,car_factor,1/99,剔2025-26,355,-1.2635452058532286,0.0160397464610114
股东增减持/限售流通,car_factor,5/95,all,390,-1.7206960525286954,0.00017709104932085265
股东增减持/限售流通,car_factor,5/95,剔极端反应,386,-1.538619428048174,0.0006975374110324701
股东增减持/限售流通,car_factor,5/95,剔2025-26,355,-1.2155501699716968,0.01013982173387949
股份回购(首发),rel_h5,无winsor,all,203,0.8783251571853044,0.14796415133179164
股份回购(首发),rel_h5,无winsor,剔极端反应,200,0.398414108266627,0.4667349903189893
股份回购(首发),rel_h5,无winsor,剔2025-26,170,0.2585524366012239,0.6533192761059659
股份回购(首发),rel_h5,1/99,all,203,0.9767403116090789,0.09787452723176589
股份回购(首发),rel_h5,1/99,剔极端反应,200,0.5008161205655542,0.34411901579697796
股份回购(首发),rel_h5,1/99,剔2025-26,170,0.3466400458038907,0.5322161864874693
股份回购(首发),rel_h5,5/95,all,203,0.7781557351321028,0.1357148678217493
股份回购(首发),rel_h5,5/95,剔极端反应,200,0.41295946858696364,0.3979344024823245
股份回购(首发),rel_h5,5/95,剔2025-26,170,0.18901264968526718,0.7033512147977043
股份回购(首发),rel_h20,无winsor,all,203,0.5348335738262585,0.5567894207225144
股份回购(首发),rel_h20,无winsor,剔极端反应,196,0.05194868094171556,0.9457546600453938
股份回购(首发),rel_h20,无winsor,剔2025-26,170,0.14900151825675717,0.8775239139536054
股份回购(首发),rel_h20,1/99,all,203,0.731892582327418,0.39966254170417165
股份回购(首发),rel_h20,1/99,剔极端反应,196,0.06506964854627707,0.9313898855901978
股份回购(首发),rel_h20,1/99,剔2025-26,170,0.24056401655222598,0.7919949788517946
股份回购(首发),rel_h20,5/95,all,203,0.5207037754812233,0.49936363335934625
股份回购(首发),rel_h20,5/95,剔极端反应,196,0.06759722424162506,0.925230545621134
股份回购(首发),rel_h20,5/95,剔2025-26,170,0.3126712144401671,0.7075128212261985
股份回购(首发),rel_h60,无winsor,all,203,2.6430921481619536,0.11458537419056153
股份回购(首发),rel_h60,无winsor,剔极端反应,168,-1.6807619838210102,0.13489887738285697
股份回购(首发),rel_h60,无winsor,剔2025-26,170,2.202376809390518,0.2510304613430874
股份回购(首发),rel_h60,1/99,all,203,2.6443527535977633,0.10896690399815541
股份回购(首发),rel_h60,1/99,剔极端反应,168,-1.658152263038397,0.13902112542823564
股份回购(首发),rel_h60,1/99,剔2025-26,170,2.1817918939419343,0.24866388741559978
股份回购(首发),rel_h60,5/95,all,203,1.9015114086595606,0.1807466209498568
股份回购(首发),rel_h60,5/95,剔极端反应,168,-1.718987938153568,0.115958525021658
股份回购(首发),rel_h60,5/95,剔2025-26,170,1.2616838153971939,0.43880175285435347
股份回购(首发),car_factor,无winsor,all,203,0.6345003243562378,0.4801516008202328
股份回购(首发),car_factor,无winsor,剔极端反应,198,-0.23581440953408164,0.7765231207615485
股份回购(首发),car_factor,无winsor,剔2025-26,170,0.5535967420804757,0.5575049946494324
股份回购(首发),car_factor,1/99,all,203,0.6728724680179713,0.4507574294415817
股份回购(首发),car_factor,1/99,剔极端反应,198,-0.22488203752186497,0.7837442839245174
股份回购(首发),car_factor,1/99,剔2025-26,170,0.560352509348325,0.5481435946843222
股份回购(首发),car_factor,5/95,all,203,0.4421057981933505,0.5850464352690311
股份回购(首发),car_factor,5/95,剔极端反应,198,-0.26505426665034476,0.7315916661343193
股份回购(首发),car_factor,5/95,剔2025-26,170,0.37169467243789067,0.6699622584207707
股权激励/员工持股,rel_h5,无winsor,all,439,0.11850265844777381,0.837116593609372
股权激励/员工持股,rel_h5,无winsor,剔极端反应,427,-1.2396232422137663,0.0029673032060618
股权激励/员工持股,rel_h5,无winsor,剔2025-26,367,-0.2877033975869522,0.6573101782606638
股权激励/员工持股,rel_h5,1/99,all,439,-0.00632719737185968,0.990721009686763
股权激励/员工持股,rel_h5,1/99,剔极端反应,427,-1.2624064119803384,0.0023171494057309472
股权激励/员工持股,rel_h5,1/99,剔2025-26,367,-0.2877033975869522,0.6573101782606638
股权激励/员工持股,rel_h5,5/95,all,439,-0.36110640951311707,0.2968243273583689
股权激励/员工持股,rel_h5,5/95,剔极端反应,427,-0.9050774838503127,0.005449332613072367
股权激励/员工持股,rel_h5,5/95,剔2025-26,367,-0.803141474578162,0.03279367961883135
股权激励/员工持股,rel_h20,无winsor,all,439,0.948934310249275,0.2232732639431144
股权激励/员工持股,rel_h20,无winsor,剔极端反应,417,-0.9374695989178087,0.08957361931456635
股权激励/员工持股,rel_h20,无winsor,剔2025-26,367,0.6602308958326473,0.4592666694853566
股权激励/员工持股,rel_h20,1/99,all,439,1.0446907601993372,0.169348018533442
股权激励/员工持股,rel_h20,1/99,剔极端反应,417,-0.9639262506236113,0.07901357562841005
股权激励/员工持股,rel_h20,1/99,剔2025-26,367,0.7839552239814948,0.37207221174941546
股权激励/员工持股,rel_h20,5/95,all,439,-0.07487630044776358,0.8989522785636848
股权激励/员工持股,rel_h20,5/95,剔极端反应,417,-1.0240807530894858,0.042675239550057115
股权激励/员工持股,rel_h20,5/95,剔2025-26,367,-0.4589751380424661,0.4925258994382284
股权激励/员工持股,rel_h60,无winsor,all,439,1.3203038811971148,0.250536812589855
股权激励/员工持股,rel_h60,无winsor,剔极端反应,362,-2.5118788457976513,0.0005770038158144596
股权激励/员工持股,rel_h60,无winsor,剔2025-26,367,0.7336571760643765,0.577095869199834
股权激励/员工持股,rel_h60,1/99,all,439,1.2315369193369563,0.2655932443319882
股权激励/员工持股,rel_h60,1/99,剔极端反应,362,-2.511208838472232,0.0005596993591297067
股权激励/员工持股,rel_h60,1/99,剔2025-26,367,0.6132112288589809,0.6280270649188049
股权激励/员工持股,rel_h60,5/95,all,439,0.7077109661654554,0.4576992427171418
股权激励/员工持股,rel_h60,5/95,剔极端反应,362,-2.657129931577093,0.00017702019911466715
股权激励/员工持股,rel_h60,5/95,剔2025-26,367,0.16399514458630382,0.8812122842459571
股权激励/员工持股,car_factor,无winsor,all,439,-0.18336701229862562,0.7845341723359938
股权激励/员工持股,car_factor,无winsor,剔极端反应,423,-1.6105460511872765,0.002271458439409478
股权激励/员工持股,car_factor,无winsor,剔2025-26,367,-0.4277395802195284,0.570130700872213
股权激励/员工持股,car_factor,1/99,all,439,-0.13894882409761,0.8339692332379697
股权激励/员工持股,car_factor,1/99,剔极端反应,423,-1.6067184291542687,0.0020739134697673627
股权激励/员工持股,car_factor,1/99,剔2025-26,367,-0.38887539509503094,0.6015666054236168
股权激励/员工持股,car_factor,5/95,all,439,-0.8631024566512128,0.11125955229603413
股权激励/员工持股,car_factor,5/95,剔极端反应,423,-1.803555578750151,0.00025625435482132106
股权激励/员工持股,car_factor,5/95,剔2025-26,367,-1.165688356176392,0.051353166300768194
