car_factor,raw_ret,systematic,alpha_sum,beta_mkt,beta_sector,est_n,ts_code,subtype,trade_date,rel_old
-0.18905990631530556,-0.15184239828845825,-0.016882023096890422,0.05409953112373776,0.8866925330590056,-0.01381836068084985,113,002313.SZ,业绩快报,20110223,-0.1573128252476078
0.07034502418332,0.008774820938941219,-0.015737352115346884,-0.0458328511290319,0.7612995405748961,-0.003202003483211091,115,300098.SZ,业绩快报,20110225,0.1123769985354643
-0.11788064116860217,-0.17605152543914016,-0.10248273766531243,0.04431185339477442,0.9211355174348528,-0.021679839531025924,138,002313.SZ,分红/权益分派,20110330,0.038460594909537
-0.03736114049791502,-0.15114939440818287,-0.07056507886350205,-0.043223175046765816,0.7641167997752777,-0.004902343105161466,139,300098.SZ,分红/权益分派,20110331,-0.0430151456058242
0.06062167474998618,0.08020472073350593,-0.007195629436950096,0.026778675420469838,0.8943277538342591,0.09526130733097293,204,002313.SZ,定增/再融资,20110711,0.0648795683564672
0.07371403778658946,0.11218986188144908,0.012621714666117867,0.025854109428741757,0.8901071285068298,0.09797893749103159,207,002313.SZ,业绩预告,20110714,0.0594960209656594
0.15765742780534409,0.23348846689078906,0.08024969866845824,-0.00441865958301323,0.5162438965750177,0.11193704426987616,247,300098.SZ,业绩预告,20120131,0.1585308332966304
0.08765967114787196,0.060138801367262906,-0.03785538544736921,0.010334515666760153,0.8049932943368082,0.16717924831529735,202,002313.SZ,业绩快报,20120228,0.0627837402456117
0.046603139085111864,0.0307550472179815,-0.002208433160120646,-0.013639658707009724,0.5643362121624262,0.14315740559240514,247,300098.SZ,业绩快报,20120229,-0.085688991904779
0.08396517549889972,0.02423016568664882,-0.0684753269041679,0.008740317091917,0.8114057860894003,0.1643517982290545,202,002313.SZ,定增/再融资,20120301,0.0771386025266192
-0.004861349249847033,-0.04702660918815338,-0.056815115108233415,0.014649855169927076,0.797901876699933,0.13474165906927477,201,002313.SZ,分红/权益分派,20120315,0.0043712876271014
-0.04161109112369622,-0.007967432287172893,0.034543648425117826,-0.0008999895885945037,0.5365958892938216,0.18967452198394227,247,300098.SZ,业绩预告,20120330,-0.1565876370911083
0.0023775853758481475,-0.0007402437349999236,0.0034907344440880724,-0.006608563554936152,0.7919163456792058,0.11982698468597172,200,002313.SZ,业绩预告,20120413,0.0818524697332
0.0023775853758481475,-0.0007402437349999236,0.0034907344440880724,-0.006608563554936152,0.7919163456792058,0.11982698468597172,200,002313.SZ,定增/再融资,20120413,0.0818524697332
-0.07431033245375653,-0.06254726541941558,0.011534755365244596,0.00022831166909634756,0.5754833091163788,0.17117654639832225,246,300098.SZ,分红/权益分派,20120418,-0.0633231245479151
-0.014997532716552943,-0.03137448335841242,-0.02411793757176524,0.007740986929905759,0.7554482254655108,0.11140270655782514,200,002313.SZ,业绩预告,20120423,0.0630664095511746
-0.19378087962442303,-0.1402540245632372,0.06000337246204084,-0.0064765174008550195,0.6061473437389447,0.26450050066622527,245,300098.SZ,业绩预告,20120716,-0.2669153460616135
0.13333379213374028,0.18920497767787214,0.03123335574586661,0.02463782979826527,0.7153512461154753,0.10481929207415641,202,002313.SZ,定增/再融资,20120717,0.2287148140538318
0.1879454051941417,0.15142947648414573,-0.02120753524811591,-0.015308393461880052,0.7723670034776812,0.12187042739092435,246,300098.SZ,业绩预告,20120823,0.0019936317227864
-0.2759890288867511,-0.292739576842417,-0.042822661555545344,0.026072113599879355,0.8215440841124596,0.06745970178236471,204,002313.SZ,业绩预告,20121015,-0.2121435621354868
-0.24983851680575284,-0.28910133158138385,-0.07223251633804133,0.03296970156241033,0.7964955724285381,0.07356205507832225,203,002313.SZ,业绩预告,20121024,-0.0973161567364465
