analysis_group_id,event_date,as_of_date,source_count,evidence_count,group_event_count,group_source_count,group_evidence_count,keyword_score_num,source_weight_num,signal_strength_num,has_pdf_num,pre_total_mv_yi,text_char_len,text_digit_count,text_percent_count,text_money_word_count,text_risk_keyword_count,text_has_risk_keyword,text_growth_keyword_count,text_has_growth_keyword,text_capital_keyword_count,text_has_capital_keyword,text_ir_keyword_count,text_has_ir_keyword,text_tech_keyword_count,text_has_tech_keyword,text_order_keyword_count,text_has_order_keyword,text_policy_keyword_count,text_has_policy_keyword,text_finance_keyword_count,text_has_finance_keyword,category_业绩信号,category_产品/技术创新,category_其他,category_客户/订单,category_政策/行业,category_管理层/投关信号,category_资本动作,category_风险事件,source_has_announcement,source_has_express,source_has_forecast,source_has_institution_survey,source_has_irm_qa,source_has_news,source_has_repurchase,source_has_research_report
002313|2011-09-09|其他,2011-09-09,2011-09-09,1,1,2,1,2,0,4,1,0,46.31,99,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
688159|2025-05-17|管理层/投关信号,2025-05-17,2025-05-17,1,1,1,1,1,2,4,1,0,56.43862268,130,16,0,0,0,0,0,0,0,0,4,1,2,1,0,0,4,1,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
002313|2024-03-29|其他,2024-03-29,2024-03-29,1,1,31,1,31,0,4,1,0,37.47744,219,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300590|2019-10-28|政策/行业,2019-10-28,2019-10-28,1,1,2,1,2,1,3,1,0,50.38488,123,1,0,0,0,0,4,1,0,0,1,1,0,0,0,0,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
002313|2015-07-15|其他,2015-07-15,2015-07-15,1,1,1,1,1,0,4,1,0,46.5192,77,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
002313|2015-01-19|管理层/投关信号,2015-01-19,2015-01-19,1,1,1,1,1,2,4,1,0,36.1296,86,14,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
002313|2012-07-03|其他,2012-07-03,2012-07-03,1,1,4,1,4,0,4,1,0,46.6,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300638|2024-01-13|业绩信号,2024-01-13,2024-01-13,1,1,2,1,2,7,5,1,0,127.88956593,234,32,0,6,0,0,2,1,0,0,0,0,3,1,4,1,4,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
300638|2022-08-18|其他,2022-08-18,2022-08-18,1,1,5,1,5,0,4,1,0,175.12356939,185,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
002881|2022-05-20|其他,2022-05-20,2022-05-20,1,1,1,1,1,0,4,1,0,68.13535744,55,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300590|2020-10-29|政策/行业,2020-10-29,2020-10-29,1,1,1,1,1,1,3,1,0,60.3604764,111,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
300098|2019-07-31|资本动作,2019-07-31,2019-07-31,1,1,4,1,4,1,4,1,0,127.88002995,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
300638|2018-04-13|其他,2018-04-13,2018-04-13,1,1,25,1,25,0,4,1,0,33.752,237,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
688159|2023-04-28|政策/行业,2023-04-28,2023-04-28,1,1,1,1,1,1,4,1,0,18.34506695,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
688159|2023-04-28|风险事件,2023-04-28,2023-04-28,1,1,1,1,1,1,4,1,0,18.34506695,76,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
603236|2024-07-10|资本动作,2024-07-10,2024-07-10,1,1,1,1,1,3,3,1,0,117.1008534,107,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
300098|2021-08-28|业绩信号,2021-08-28,2021-08-28,1,1,2,1,2,2,4,1,0,71.07529505000001,64,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300638|2021-08-22|政策/行业,2021-08-22,2021-08-22,1,1,1,1,1,1,3,1,0,217.87685194,85,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
300638|2021-08-23|政策/行业,2021-08-23,2021-08-23,1,1,1,1,1,1,3,1,0,217.87685194,97,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
300638|2022-04-29|其他,2022-04-29,2022-04-29,1,1,2,1,2,0,4,1,0,115.11647123,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300098|2016-11-08|资本动作,2016-11-08,2016-11-08,1,1,1,1,1,2,4,1,0,164.11654998999998,74,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
002313|2023-05-09|管理层/投关信号,2023-05-09,2023-05-09,1,1,1,1,1,3,4,1,0,31.93632,116,20,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
300098|2020-04-28|资本动作,2020-04-28,2020-04-28,1,1,2,1,2,1,4,1,0,99.30545774,115,6,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
300098|2016-04-12|资本动作,2016-04-12,2016-04-12,1,1,1,1,1,1,4,1,0,164.57728305999998,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
300098|2016-04-12|产品/技术创新,2016-04-12,2016-04-12,1,1,1,1,1,1,4,1,0,164.57728305999998,84,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
688159|2025-07-17|风险事件,2025-07-17,2025-07-17,1,1,1,1,1,2,4,1,0,50.914033360000005,50,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
002313|2024-09-26|其他,2024-09-26,2024-09-26,1,1,4,1,4,0,4,1,0,24.97248,121,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300098|2021-04-23|管理层/投关信号,2021-04-23,2021-04-23,1,1,1,1,1,2,4,1,0,72.67113438,76,14,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
002881|2021-07-13|资本动作,2021-07-13,2021-07-13,1,1,5,1,5,5,5,1,0,53.16568590000001,448,62,2,10,0,0,3,1,4,1,0,0,1,1,0,0,3,1,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
